id,title,field,value,trigger,context,flag
159,Reports Database:Social Return on Investment Analysis: Clyde,p7_verify_result,2,Level-2 keyword: 'sensitivity analysis',"te around £9 of benefits. by applying a sensitivity analysis, or varying any assumptions made in the calculation, the va",
159,Reports Database:Social Return on Investment Analysis: Clyde,p8_be_responsive,2,Level-2 keyword: 'recommendation',ty considerations 25 7. conclusions and recommendations appendices 1. audit trail and impact map information 1.1 stakeho,
55,Reports Database:Substance Abuse Prevention Dollars and Cent,p1_involve_stakeholders,0,No keywords matched,,
55,Reports Database:Substance Abuse Prevention Dollars and Cent,p2_understand_changes,1,"Level-1 keywords (2 hits): ['impact', 'benefit']",.........5 3. direct economic impact of substance abuse ..................................,
55,Reports Database:Substance Abuse Prevention Dollars and Cent,p3_value_what_matters,1,"Level-1 keywords (2 hits): ['value', 'cost saving']",2.2.2. discounting to present value ......................................................,
55,Reports Database:Substance Abuse Prevention Dollars and Cent,p4_only_material,1,Level-1 keyword (single hit): 'material',,WEAK — only 1 keyword; may be coincidental
55,Reports Database:Substance Abuse Prevention Dollars and Cent,p5_do_not_overclaim,0,No keywords matched,,
55,Reports Database:Substance Abuse Prevention Dollars and Cent,p6_be_transparent,2,Level-2 keyword: 'appendix',"o the development of this document (see appendix, 9.4). the document was prepared for the substance abuse and mental hea",
55,Reports Database:Substance Abuse Prevention Dollars and Cent,p7_verify_result,0,No keywords matched,,
55,Reports Database:Substance Abuse Prevention Dollars and Cent,p8_be_responsive,1,Level-1 keyword (single hit): 'recommend',,WEAK — only 1 keyword; may be coincidental
144,Reports Database:The YSS Pathways Accommodation Mentoring (P,p1_involve_stakeholders,1,"Level-1 keywords (3 hits): ['stakeholder', 'engagement', 'interview']",ackground & context the study stakeholders outcomes & evidence impact social return on inv,
144,Reports Database:The YSS Pathways Accommodation Mentoring (P,p2_understand_changes,1,"Level-1 keywords (4 hits): ['outcome', 'impact', 'benefit']",ontext the study stakeholders outcomes & evidence impact social return on investment concl,
144,Reports Database:The YSS Pathways Accommodation Mentoring (P,p3_value_what_matters,1,Level-1 keyword (single hit): 'value',,WEAK — only 1 keyword; may be coincidental
144,Reports Database:The YSS Pathways Accommodation Mentoring (P,p4_only_material,0,No keywords matched,,
144,Reports Database:The YSS Pathways Accommodation Mentoring (P,p5_do_not_overclaim,2,Level-2 keyword: 'deadweight',"ef accredited reports as the source for deadweight, displacement and drop-off figures,  dwp and moj figures for costs r",
144,Reports Database:The YSS Pathways Accommodation Mentoring (P,p6_be_transparent,2,Level-2 keyword: 'audit trail',sion & recommendations appendices 1. 2. audit trail - stakeholders glossary of sroi terminology page 3 page 5 page 6 pag,
144,Reports Database:The YSS Pathways Accommodation Mentoring (P,p7_verify_result,1,Level-1 keyword (single hit): 'range',,WEAK — only 1 keyword; may be coincidental
144,Reports Database:The YSS Pathways Accommodation Mentoring (P,p8_be_responsive,2,Level-2 keyword: 'recommendation',ocial return on investment conclusion & recommendations appendices 1. 2. audit trail - stakeholders glossary of sroi ter,
12,Reports Database:Food Connect Brisbane Forecast SROI Report,p1_involve_stakeholders,1,Level-1 keyword (single hit): 'stakeholder',,WEAK — only 1 keyword; may be coincidental
12,Reports Database:Food Connect Brisbane Forecast SROI Report,p2_understand_changes,1,"Level-1 keywords (4 hits): ['outcome', 'impact', 'benefit']",ue created: stakeholders real outcomes due to food connect brisbane farmers increased reve,
12,Reports Database:Food Connect Brisbane Forecast SROI Report,p3_value_what_matters,1,Level-1 keyword (single hit): 'value',,WEAK — only 1 keyword; may be coincidental
12,Reports Database:Food Connect Brisbane Forecast SROI Report,p4_only_material,2,Level-2 keyword: 'excluded from',ome taxes from the employment of people excluded from the labour market 2 2 social return on investment the following is,
12,Reports Database:Food Connect Brisbane Forecast SROI Report,p5_do_not_overclaim,0,No keywords matched,,
12,Reports Database:Food Connect Brisbane Forecast SROI Report,p6_be_transparent,0,No keywords matched,,
12,Reports Database:Food Connect Brisbane Forecast SROI Report,p7_verify_result,1,Level-1 keyword (single hit): 'range',,WEAK — only 1 keyword; may be coincidental
12,Reports Database:Food Connect Brisbane Forecast SROI Report,p8_be_responsive,0,No keywords matched,,
83,Reports Database:Veterans Contact Point SROI Report,p1_involve_stakeholders,1,Level-1 keyword (single hit): 'stakeholder',,WEAK — only 1 keyword; may be coincidental
83,Reports Database:Veterans Contact Point SROI Report,p2_understand_changes,2,Level-2 keyword: 'impact map',ppendix 1 - key extracts taken from the impact map ...................................... 32 appendix 2 - audit trail – ,
83,Reports Database:Veterans Contact Point SROI Report,p3_value_what_matters,0,No keywords matched,,
83,Reports Database:Veterans Contact Point SROI Report,p4_only_material,0,No keywords matched,,
83,Reports Database:Veterans Contact Point SROI Report,p5_do_not_overclaim,2,Level-2 keyword: 'deadweight',............................. 24 8. 8.1 deadweight .....................................................................,
83,Reports Database:Veterans Contact Point SROI Report,p6_be_transparent,2,Level-2 keyword: 'audit trail',....................... 32 appendix 2 - audit trail – stakeholders .....................................................,
83,Reports Database:Veterans Contact Point SROI Report,p7_verify_result,2,Level-2 keyword: 'sensitivity analysis',................................ 28 10. sensitivity analysis and verification ..........................................,
83,Reports Database:Veterans Contact Point SROI Report,p8_be_responsive,2,Level-2 keyword: 'recommendation',................. 29 11. conclusion and recommendations ............................................................ 30 ,
8,"Reports Database:HITTING THE TARGET, MISSING THE POINT: How ",p1_involve_stakeholders,1,Level-1 keyword (single hit): 'stakeholder',,WEAK — only 1 keyword; may be coincidental
8,"Reports Database:HITTING THE TARGET, MISSING THE POINT: How ",p2_understand_changes,1,"Level-1 keywords (4 hits): ['outcome', 'change', 'impact']",ap appendix 2 – non-monetised outcomes appendix 3 – stages of a social return on investmen,
8,"Reports Database:HITTING THE TARGET, MISSING THE POINT: How ",p3_value_what_matters,2,Level-2 keyword: 'monetis',ix 1 – stakeholder map appendix 2 – non-monetised outcomes appendix 3 – stages of a social return on investment (sroi) a,
8,"Reports Database:HITTING THE TARGET, MISSING THE POINT: How ",p4_only_material,0,No keywords matched,,
8,"Reports Database:HITTING THE TARGET, MISSING THE POINT: How ",p5_do_not_overclaim,0,No keywords matched,,
8,"Reports Database:HITTING THE TARGET, MISSING THE POINT: How ",p6_be_transparent,2,Level-2 keyword: 'appendix',5 16 17 18 20 21 27 27 28 5. conclusion appendix 1 – stakeholder map appendix 2 – non-monetised outcomes appendix 3 – st,
8,"Reports Database:HITTING THE TARGET, MISSING THE POINT: How ",p7_verify_result,0,No keywords matched,,
8,"Reports Database:HITTING THE TARGET, MISSING THE POINT: How ",p8_be_responsive,1,Level-1 keyword (single hit): 'improvement',,WEAK — only 1 keyword; may be coincidental
139,Reports Database:NSW Employment Program: Evaluation and Soci,p1_involve_stakeholders,2,Level-2 keyword: 'participat',"ipants - experience strong support from participating employers, with a positive nps of 22% • a key challenge in assessi",
139,Reports Database:NSW Employment Program: Evaluation and Soci,p2_understand_changes,1,"Level-1 keywords (2 hits): ['outcome', 'benefit']",hat is tailored to individual outcomes: - job readiness training gives young people skills,
139,Reports Database:NSW Employment Program: Evaluation and Soci,p3_value_what_matters,0,No keywords matched,,
139,Reports Database:NSW Employment Program: Evaluation and Soci,p4_only_material,0,No keywords matched,,
139,Reports Database:NSW Employment Program: Evaluation and Soci,p5_do_not_overclaim,0,No keywords matched,,
139,Reports Database:NSW Employment Program: Evaluation and Soci,p6_be_transparent,1,Level-1 keyword (single hit): 'assumption',,WEAK — only 1 keyword; may be coincidental
139,Reports Database:NSW Employment Program: Evaluation and Soci,p7_verify_result,1,Level-1 keyword (single hit): 'conservative',,WEAK — only 1 keyword; may be coincidental
139,Reports Database:NSW Employment Program: Evaluation and Soci,p8_be_responsive,0,No keywords matched,,
242,"Reports Database:Through a glass, darkly: Measuring the soci",p1_involve_stakeholders,1,Level-1 keyword (single hit): 'engagement',,WEAK — only 1 keyword; may be coincidental
242,"Reports Database:Through a glass, darkly: Measuring the soci",p2_understand_changes,1,"Level-1 keywords (3 hits): ['outcome', 'impact', 'benefit']","o receive public funding, the outcomes should be described and measured, the he sector (li",
242,"Reports Database:Through a glass, darkly: Measuring the soci",p3_value_what_matters,1,Level-1 keyword (single hit): 'value',,WEAK — only 1 keyword; may be coincidental
242,"Reports Database:Through a glass, darkly: Measuring the soci",p4_only_material,0,No keywords matched,,
242,"Reports Database:Through a glass, darkly: Measuring the soci",p5_do_not_overclaim,0,No keywords matched,,
242,"Reports Database:Through a glass, darkly: Measuring the soci",p6_be_transparent,2,Level-2 keyword: 'evidence base', definitions and meaning 4. the current evidence base for higher education impact and value 5. current thinking about ho,
242,"Reports Database:Through a glass, darkly: Measuring the soci",p7_verify_result,0,No keywords matched,,
242,"Reports Database:Through a glass, darkly: Measuring the soci",p8_be_responsive,1,Level-1 keyword (single hit): 'next step',,WEAK — only 1 keyword; may be coincidental
17,Reports Database:Public Social Partnerships Employability Pi,p1_involve_stakeholders,2,Level-2 keyword: 'stakeholder engagement',................... 13 stakeholders and stakeholder engagement ................................................. 14 3.1 ,
17,Reports Database:Public Social Partnerships Employability Pi,p2_understand_changes,2,Level-2 keyword: 'theory of change',................................ 21 the theory of change .......................,
17,Reports Database:Public Social Partnerships Employability Pi,p3_value_what_matters,1,Level-1 keyword (single hit): 'value',,WEAK — only 1 keyword; may be coincidental
17,Reports Database:Public Social Partnerships Employability Pi,p4_only_material,1,Level-1 keyword (single hit): 'scope',,WEAK — only 1 keyword; may be coincidental
17,Reports Database:Public Social Partnerships Employability Pi,p5_do_not_overclaim,0,No keywords matched,,
17,Reports Database:Public Social Partnerships Employability Pi,p6_be_transparent,1,Level-1 keyword (single hit): 'assumption',,WEAK — only 1 keyword; may be coincidental
17,Reports Database:Public Social Partnerships Employability Pi,p7_verify_result,1,Level-1 keyword (single hit): 'range',,WEAK — only 1 keyword; may be coincidental
17,Reports Database:Public Social Partnerships Employability Pi,p8_be_responsive,0,No keywords matched,,
131,Reports Database:Vienna University of Economics and Business,p1_involve_stakeholders,1,Level-1 keyword (single hit): 'stakeholder',,WEAK — only 1 keyword; may be coincidental
131,Reports Database:Vienna University of Economics and Business,p2_understand_changes,1,"Level-1 keywords (4 hits): ['outcome', 'impact', 'benefit']",h the output achieved and the outcome per stakeholder in an impact value chain. subsequent,
131,Reports Database:Vienna University of Economics and Business,p3_value_what_matters,2,Level-2 keyword: 'monetis', euro created effects equivalent to the monetised value of 3.47 euros. the number of youth who enjoy care and vocational,
131,Reports Database:Vienna University of Economics and Business,p4_only_material,0,No keywords matched,,
131,Reports Database:Vienna University of Economics and Business,p5_do_not_overclaim,0,No keywords matched,,
131,Reports Database:Vienna University of Economics and Business,p6_be_transparent,1,"Level-1 keywords (2 hits): ['assumption', 'data']", in a second scenario. on the assumption that the value provided by the training would not,Verify: generic terms may produce false positives
131,Reports Database:Vienna University of Economics and Business,p7_verify_result,2,Level-2 keyword: 'sensitivity analysis',as calculated within the framework of a sensitivity analysis which was to demonstrate the effects of a full capacity uti,
131,Reports Database:Vienna University of Economics and Business,p8_be_responsive,0,No keywords matched,,
347,Reports Database:Evaluation of Four Recovery Communities acr,p1_involve_stakeholders,1,Level-1 keyword (single hit): 'stakeholder',,WEAK — only 1 keyword; may be coincidental
347,Reports Database:Evaluation of Four Recovery Communities acr,p2_understand_changes,1,"Level-1 keywords (2 hits): ['outcome', 'change']",g an evaluation of the social outcomes using a forecast social return on investment (sroi),
347,Reports Database:Evaluation of Four Recovery Communities acr,p3_value_what_matters,1,Level-1 keyword (single hit): 'value',,WEAK — only 1 keyword; may be coincidental
347,Reports Database:Evaluation of Four Recovery Communities acr,p4_only_material,0,No keywords matched,,
347,Reports Database:Evaluation of Four Recovery Communities acr,p5_do_not_overclaim,0,No keywords matched,,
347,Reports Database:Evaluation of Four Recovery Communities acr,p6_be_transparent,1,Level-1 keyword (single hit): 'evidence',,WEAK — only 1 keyword; may be coincidental
347,Reports Database:Evaluation of Four Recovery Communities acr,p7_verify_result,0,No keywords matched,,
347,Reports Database:Evaluation of Four Recovery Communities acr,p8_be_responsive,1,Level-1 keyword (single hit): 'learning',,WEAK — only 1 keyword; may be coincidental
266,Reports Database:Social Return on Investment Report: The YSS,p1_involve_stakeholders,1,"Level-1 keywords (3 hits): ['stakeholder', 'engagement', 'interview']",ackground & context the study stakeholders outcomes & evidence impact social return on inv,
266,Reports Database:Social Return on Investment Report: The YSS,p2_understand_changes,1,"Level-1 keywords (3 hits): ['outcome', 'impact', 'result']",ontext the study stakeholders outcomes & evidence impact social return on investment concl,
266,Reports Database:Social Return on Investment Report: The YSS,p3_value_what_matters,1,Level-1 keyword (single hit): 'value',,WEAK — only 1 keyword; may be coincidental
266,Reports Database:Social Return on Investment Report: The YSS,p4_only_material,0,No keywords matched,,
266,Reports Database:Social Return on Investment Report: The YSS,p5_do_not_overclaim,0,No keywords matched,,
266,Reports Database:Social Return on Investment Report: The YSS,p6_be_transparent,2,Level-2 keyword: 'audit trail',sion & recommendations appendices 1. 2. audit trail - stakeholders glossary of sroi terminology page 3 page 5 page 6 pag,
266,Reports Database:Social Return on Investment Report: The YSS,p7_verify_result,1,Level-1 keyword (single hit): 'range',,WEAK — only 1 keyword; may be coincidental
266,Reports Database:Social Return on Investment Report: The YSS,p8_be_responsive,2,Level-2 keyword: 'recommendation',ocial return on investment conclusion & recommendations appendices 1. 2. audit trail - stakeholders glossary of sroi ter,
4,Reports Database:North Ayrshire Fab Pad Project,p1_involve_stakeholders,1,"Level-1 keywords (2 hits): ['stakeholder', 'participant']",as adapted for use in the uk. stakeholders this report presents an analysis of the social ,
4,Reports Database:North Ayrshire Fab Pad Project,p2_understand_changes,2,Level-2 keyword: 'impact map',association. the impacts of fab pad the impact map constructed for north ayrshire fab pad showed that a range of impacts,
4,Reports Database:North Ayrshire Fab Pad Project,p3_value_what_matters,1,Level-1 keyword (single hit): 'value',,WEAK — only 1 keyword; may be coincidental
4,Reports Database:North Ayrshire Fab Pad Project,p4_only_material,0,No keywords matched,,
4,Reports Database:North Ayrshire Fab Pad Project,p5_do_not_overclaim,0,No keywords matched,,
4,Reports Database:North Ayrshire Fab Pad Project,p6_be_transparent,0,No keywords matched,,
4,Reports Database:North Ayrshire Fab Pad Project,p7_verify_result,1,Level-1 keyword (single hit): 'range',,WEAK — only 1 keyword; may be coincidental
4,Reports Database:North Ayrshire Fab Pad Project,p8_be_responsive,1,Level-1 keyword (single hit): 'improvement',,WEAK — only 1 keyword; may be coincidental
1,Reports Database:Subliminal Directions Social Return on Inve,p1_involve_stakeholders,2,Level-2 keyword: 'participat',tember 2007 2 • improved attendance and participation • personal and social development outcomes • supporting employabil,
1,Reports Database:Subliminal Directions Social Return on Inve,p2_understand_changes,2,Level-2 keyword: 'impact map',ramme. the impacts of gateway2media the impact map constructed for gateway2media showed that a range of impacts on the y,
1,Reports Database:Subliminal Directions Social Return on Inve,p3_value_what_matters,1,Level-1 keyword (single hit): 'value',,WEAK — only 1 keyword; may be coincidental
1,Reports Database:Subliminal Directions Social Return on Inve,p4_only_material,2,Level-2 keyword: 'not included',"e impacts on participant’s families was not included, although anecdotally, some evidence was gained by the unit of the ",
1,Reports Database:Subliminal Directions Social Return on Inve,p5_do_not_overclaim,1,Level-1 keyword (single hit): 'attribution',,WEAK — only 1 keyword; may be coincidental
1,Reports Database:Subliminal Directions Social Return on Inve,p6_be_transparent,1,"Level-1 keywords (3 hits): ['assumption', 'evidence', 'data']","to subliminal directions, but assumptions have been made based on the information provided",Verify: generic terms may produce false positives
1,Reports Database:Subliminal Directions Social Return on Inve,p7_verify_result,1,Level-1 keyword (single hit): 'range',,WEAK — only 1 keyword; may be coincidental
1,Reports Database:Subliminal Directions Social Return on Inve,p8_be_responsive,0,No keywords matched,,
53,Reports Database:Craft Cafe SROI Evaluation,p1_involve_stakeholders,2,Level-2 keyword: 'participat',"ive outcomes. for the older people that participate  through the activities participants feel stimulated and inspired, ",
53,Reports Database:Craft Cafe SROI Evaluation,p2_understand_changes,2,Level-2 keyword: 'impact map',s and verification conclusion appendix: impact map 1 4 5 6 9 11 16 18 33 39 40 42 44 executive summary introduction this,
53,Reports Database:Craft Cafe SROI Evaluation,p3_value_what_matters,1,"Level-1 keywords (2 hits): ['value', 'worth']",mes and of placing a monetary value on them. the focus of this sroi analysis is on the imp,
53,Reports Database:Craft Cafe SROI Evaluation,p4_only_material,1,Level-1 keyword (single hit): 'scope',,WEAK — only 1 keyword; may be coincidental
53,Reports Database:Craft Cafe SROI Evaluation,p5_do_not_overclaim,0,No keywords matched,,
53,Reports Database:Craft Cafe SROI Evaluation,p6_be_transparent,2,Level-2 keyword: 'appendix',ty analysis and verification conclusion appendix: impact map 1 4 5 6 9 11 16 18 33 39 40 42 44 executive summary introdu,
53,Reports Database:Craft Cafe SROI Evaluation,p7_verify_result,2,Level-2 keyword: 'sensitivity analysis',amme impact social return on investment sensitivity analysis and verification conclusion appendix: impact map 1 4 5 6 9 ,
53,Reports Database:Craft Cafe SROI Evaluation,p8_be_responsive,1,Level-1 keyword (single hit): 'learning',,WEAK — only 1 keyword; may be coincidental
112,Reports Database:Integrating Adaptation into REDD+ : Potenti,p1_involve_stakeholders,1,"Level-1 keywords (2 hits): ['stakeholder', 'interview']", workshop 3.2 interviews with stakeholders in district-level organizations 3.3 climate cha,
112,Reports Database:Integrating Adaptation into REDD+ : Potenti,p2_understand_changes,2,Level-2 keyword: 'theory of change',figures and tables figures 1 example of theory of change 2 tane’ olen forest and setulang village map 3 workshop activit,
112,Reports Database:Integrating Adaptation into REDD+ : Potenti,p3_value_what_matters,0,No keywords matched,,
112,Reports Database:Integrating Adaptation into REDD+ : Potenti,p4_only_material,0,No keywords matched,,
112,Reports Database:Integrating Adaptation into REDD+ : Potenti,p5_do_not_overclaim,0,No keywords matched,,
112,Reports Database:Integrating Adaptation into REDD+ : Potenti,p6_be_transparent,1,Level-1 keyword (single hit): 'source',,WEAK — only 1 keyword; may be coincidental
112,Reports Database:Integrating Adaptation into REDD+ : Potenti,p7_verify_result,1,"Level-1 keywords (2 hits): ['sensitiv', 'scenario']",ity analysis 5.1 exposure 5.2 sensitivity 5.3 adaptive capacity 5.4 adaptation policy 6 co,
112,Reports Database:Integrating Adaptation into REDD+ : Potenti,p8_be_responsive,0,No keywords matched,,
11,Reports Database:Food Connect Sydney Forecast SROI Report,p1_involve_stakeholders,1,Level-1 keyword (single hit): 'stakeholder',,WEAK — only 1 keyword; may be coincidental
11,Reports Database:Food Connect Sydney Forecast SROI Report,p2_understand_changes,1,"Level-1 keywords (4 hits): ['outcome', 'impact', 'benefit']",ue created: stakeholders real outcomes due to food connect farmers increased revenue for f,
11,Reports Database:Food Connect Sydney Forecast SROI Report,p3_value_what_matters,1,Level-1 keyword (single hit): 'value',,WEAK — only 1 keyword; may be coincidental
11,Reports Database:Food Connect Sydney Forecast SROI Report,p4_only_material,0,No keywords matched,,
11,Reports Database:Food Connect Sydney Forecast SROI Report,p5_do_not_overclaim,0,No keywords matched,,
11,Reports Database:Food Connect Sydney Forecast SROI Report,p6_be_transparent,0,No keywords matched,,
11,Reports Database:Food Connect Sydney Forecast SROI Report,p7_verify_result,1,Level-1 keyword (single hit): 'range',,WEAK — only 1 keyword; may be coincidental
11,Reports Database:Food Connect Sydney Forecast SROI Report,p8_be_responsive,0,No keywords matched,,
372,Reports Database:The Social Value of Carmichael Centre,p1_involve_stakeholders,2,Level-2 keyword: 'stakeholder engagement',"e here does not include verification of stakeholder engagement, data and calculations. it is a principles-based assessme",
372,Reports Database:The Social Value of Carmichael Centre,p2_understand_changes,2,Level-2 keyword: 'theory of change',embers inputs 4.2.1 outputs 4.2.2 4.2.3 theory of change csp and ce scheme staff 4.3.1 4.3.2 4.3.3 the state 4.4.1 4.4.2,
372,Reports Database:The Social Value of Carmichael Centre,p3_value_what_matters,1,Level-1 keyword (single hit): 'value',,WEAK — only 1 keyword; may be coincidental
372,Reports Database:The Social Value of Carmichael Centre,p4_only_material,1,Level-1 keyword (single hit): 'scope',,WEAK — only 1 keyword; may be coincidental
372,Reports Database:The Social Value of Carmichael Centre,p5_do_not_overclaim,2,Level-2 keyword: 'deadweight', the state before establishing impact … deadweight 6.2.1 6.2.2 6.2.3 displacement 6.3.1 6.3.2 6.3.3 attribution 6.4.1 6.,
372,Reports Database:The Social Value of Carmichael Centre,p6_be_transparent,2,Level-2 keyword: 'appendix',roi principles considered at this stage appendix 1 impact map (excel version available) appendix 2 stakeholder mapping a,
372,Reports Database:The Social Value of Carmichael Centre,p7_verify_result,2,Level-2 keyword: 'sensitivity analysis',"into the future net present value ratio sensitivity analysis sroi principles considered at this stage reporting, using a",
372,Reports Database:The Social Value of Carmichael Centre,p8_be_responsive,2,Level-2 keyword: 'recommendation', 8.1 8.2 8.3 8.4 conclusions next steps recommendations sroi principles considered at this stage appendix 1 impact map (,
58,Reports Database:Sunderland XL Youth Villages SROI Evaluatio,p1_involve_stakeholders,2,Level-2 keyword: 'stakeholder engagement',"e here does not include verification of stakeholder engagement, data and calculations. it is a principles-based assessme",
58,Reports Database:Sunderland XL Youth Villages SROI Evaluatio,p2_understand_changes,2,Level-2 keyword: 'theory of change',eholders stakeholder inputs and outputs theory of change theory of change overview project addresses an identified need ,
58,Reports Database:Sunderland XL Youth Villages SROI Evaluatio,p3_value_what_matters,1,Level-1 keyword (single hit): 'value',,WEAK — only 1 keyword; may be coincidental
58,Reports Database:Sunderland XL Youth Villages SROI Evaluatio,p4_only_material,2,Level-2 keyword: 'not included',e of outcomes appendix 1 – stakeholders not included appendix 2 – quantification of outcomes appendix 3 – duration of ou,
58,Reports Database:Sunderland XL Youth Villages SROI Evaluatio,p5_do_not_overclaim,1,Level-1 keyword (single hit): 'attribution',,WEAK — only 1 keyword; may be coincidental
58,Reports Database:Sunderland XL Youth Villages SROI Evaluatio,p6_be_transparent,2,Level-2 keyword: 'appendix',ss project achieves a range of outcomes appendix 1 – stakeholders not included appendix 2 – quantification of outcomes a,
58,Reports Database:Sunderland XL Youth Villages SROI Evaluatio,p7_verify_result,2,Level-2 keyword: 'sensitivity analysis',ontribution social return on investment sensitivity analysis and sroi range verification using the findings reflecting o,
58,Reports Database:Sunderland XL Youth Villages SROI Evaluatio,p8_be_responsive,2,Level-2 keyword: 'recommendation',          executive summary 8 recommendations for future analysis using findings to get future support    ,
75,Reports Database:CUFA SROI Report,p1_involve_stakeholders,1,"Level-1 keywords (2 hits): ['stakeholder', 'beneficiar']",rimary beneficiaries and core stakeholders for each program and only related stakeholders ,
75,Reports Database:CUFA SROI Report,p2_understand_changes,1,"Level-1 keywords (3 hits): ['change', 'impact', 'result']",__________ appendix 1: social change measurement concepts explained ______________ appendi,
75,Reports Database:CUFA SROI Report,p3_value_what_matters,2,Level-2 keyword: 'monetis',"nt (sroi) recognising, measuring by and monetising changes resulting from our work. this methodology directly links our ",
75,Reports Database:CUFA SROI Report,p4_only_material,1,Level-1 keyword (single hit): 'scope',,WEAK — only 1 keyword; may be coincidental
75,Reports Database:CUFA SROI Report,p5_do_not_overclaim,0,No keywords matched,,
75,Reports Database:CUFA SROI Report,p6_be_transparent,2,Level-2 keyword: 'appendix',_______________________________________ appendix 1: social change measurement concepts explained ______________ appendix,
75,Reports Database:CUFA SROI Report,p7_verify_result,0,No keywords matched,,
75,Reports Database:CUFA SROI Report,p8_be_responsive,2,Level-2 keyword: 'recommendation',y _____________________________________ recommendations __________________________________________ appendix 1: social ch,
374,Reports Database:Community First (Moray) SROI Analysis,p1_involve_stakeholders,1,"Level-1 keywords (4 hits): ['stakeholder', 'consultat', 'engagement']","t social value is created for stakeholders as a result of running the hps, and using volun",
374,Reports Database:Community First (Moray) SROI Analysis,p2_understand_changes,2,Level-2 keyword: 'impact map', project records was used to develop an impact map for the project. the information gathered previously for a social aud,
374,Reports Database:Community First (Moray) SROI Analysis,p3_value_what_matters,1,Level-1 keyword (single hit): 'value',,WEAK — only 1 keyword; may be coincidental
374,Reports Database:Community First (Moray) SROI Analysis,p4_only_material,1,Level-1 keyword (single hit): 'scope',,WEAK — only 1 keyword; may be coincidental
374,Reports Database:Community First (Moray) SROI Analysis,p5_do_not_overclaim,2,Level-2 keyword: 'what would have happened',"s were then reduced, to take account of what would have happened anyway, the influence of other factors and where outcom",
374,Reports Database:Community First (Moray) SROI Analysis,p6_be_transparent,1,"Level-1 keywords (2 hits): ['assumption', 'evidence']",ocial return was sensitive to assumptions abou,Verify: generic terms may produce false positives
374,Reports Database:Community First (Moray) SROI Analysis,p7_verify_result,2,Level-2 keyword: 'sensitivity analysis',urn of £6.45 for every £1 invested. the sensitivity analysis showed that the social return was sensitive to assumptions ,
374,Reports Database:Community First (Moray) SROI Analysis,p8_be_responsive,0,No keywords matched,,
142,Reports Database:The social return on investment of a coachi,p1_involve_stakeholders,2,Level-2 keyword: 'stakeholder engagement',"e here does not include verification of stakeholder engagement, data and calculations. it is a principles- based assessm",
142,Reports Database:The social return on investment of a coachi,p2_understand_changes,2,Level-2 keyword: 'theory of change',ope of the analysis 1.3 methodology 1.4 theory of change 1.5 reading instructions 2. theoretical framework 2.1 risk fact,
142,Reports Database:The social return on investment of a coachi,p3_value_what_matters,0,No keywords matched,,
142,Reports Database:The social return on investment of a coachi,p4_only_material,1,Level-1 keyword (single hit): 'scope',,WEAK — only 1 keyword; may be coincidental
142,Reports Database:The social return on investment of a coachi,p5_do_not_overclaim,0,No keywords matched,,
