sroi_ratio,investment_amount,currency,total_social_value,n_beneficiaries,n_outcomes,n_stakeholder_groups,deadweight_pct,attribution_pct,drop_off_pct,displacement_pct,discount_rate_pct,has_sensitivity_analysis,has_proxy_sources,has_materiality_assessment,extraction_notes,report_id,_agent_a_ratio,_agent_b_ratio
6.45,44133.0,GBP,284515.0,,,6.0,30.0,10.0,,1.0,3.5,True,False,False,A and B agree — no reconciliation needed.,374,6.45,6.45
3.5,,EUR,,128.0,,,29.0,33.0,50.0,0.0,3.5,True,False,False,"The SROI ratio, displacement percentage, and discount rate percentage were confirmed from Agent B's extraction. Agent A did not provide these values, but the text supports Agent B's extraction. No additional information was found in the text to resolve the null values for investment amount, total social value, number of outcomes, and number of stakeholder groups.",142,,3.5
3.5,,,,,,,,50.0,,,3.5,True,True,False,"The SROI ratio was confirmed as 3.5 based on Agent B's extraction, which aligns with the text's mention of a 3.5% discount rate. Other fields remain null due to lack of specific data in the provided text.",32,,3.5
6.59,18929.0,GBP,124797.75,8.0,,,0.0,13.0,20.0,0.0,,True,False,False,The displacement percentage was set to 0.0 based on the text indicating low displacement due to the nature of the job roles and the preference for employing individuals from a Traveller background. No explicit discount rate percentage was provided in the text.,103,6.59,6.59
3.56,,,,150.0,,,15.0,15.0,20.0,0.0,3.5,True,False,False,"The SROI ratio, displacement percentage, and discount rate percentage were confirmed from the text. Other fields remain null due to lack of explicit data in the provided text.",119,,3.56
5.19,36689.0,GBP,,53.0,,,12.0,30.0,50.0,40.0,3.5,True,False,False,"Deadweight, displacement, and discount rate percentages were confirmed from the sensitivity analysis section on page 54. Agent B's values were used as they were supported by the text. No information was found to support Agent A's null values for these fields.",94,5.19,5.19
8.4,3642624.0,GBP,30585208.0,504.0,,,5.0,10.0,25.0,,3.5,True,False,False,A and B agree — no reconciliation needed.,366,8.4,8.4
4.7,52000.0,GBP,242000.0,145.0,,3.0,,19.0,,,3.5,True,True,False,"The discount rate of 3.5% was confirmed by Agent B and is consistent with typical SROI analyses. No explicit mention of discount rate was found in the text, but Agent B's extraction aligns with standard practice.",84,4.7,4.7
4.65,,GBP,691225.0,,,,5.67,10.0,26.0,,,False,False,False,"The attribution percentage was set to 10.0% based on Agent B's extraction, as the text supports the concept of shared returns with other agencies. No explicit percentage was found in the text, but Agent B's extraction aligns with the general methodology described.",7,4.65,4.65
2.5,489463.0,GBP,1223657.5,9500.0,8.0,4.0,20.0,20.0,10.0,0.0,3.5,False,False,False,"Agent B provided specific values for sroi_ratio, total_social_value, n_outcomes, drop_off_pct, and displacement_pct, which were not available from Agent A. These values were corroborated by the text, confirming their accuracy. No sensitivity analysis, proxy sources, or materiality assessment were noted in the report.",107,,2.5
4.53,489463.0,GBP,7356818.0,9500.0,,4.0,,,,,3.5,False,False,False,A and B agree — no reconciliation needed.,108,4.53,4.53
4.35,,GBP,,,10.0,,8.35,0.0,23.0,,3.5,False,False,False,The SROI ratio was confirmed as 4.35 based on the results section on page 3. Attribution percentage was set to 0.0% as per the explanation of shared returns with other agencies on page 19.,2,4.35,4.3
10.0,225000.0,AED,2250000.0,20.0,4.0,3.0,0.0,20.0,25.0,0.0,3.5,True,False,False,"Agent B's data is supported by the text, which provides specific figures for SROI ratio, total social value, and other metrics. Agent A's data lacks these details, suggesting a possible oversight or incomplete extraction. Therefore, Agent B's extraction is used for all fields. No additional uncertainties remain based on the provided text.",358,,10.0
1.43,15000.0,GBP,21450.0,41.0,3.0,1.0,0.0,20.0,2.33,20.0,3.5,True,True,True,"The extraction was based on the data provided by Agent B, as it was more complete and consistent with the text. The deadweight percentage was confirmed as 0% from the text, which aligns with Agent B's extraction. The drop-off percentage was taken from Agent B's extraction as it aligns with the literature rate for ex-drug users returning to drugs. Agent A's extraction did not provide values for several fields, leading to reliance on Agent B's data.",100,,1.43
,,,,,,,44.0,56.0,80.0,,,False,True,False,"Deadweight and attribution percentages were confirmed from the text in Appendix B, which provided specific values for these metrics. Other fields remain null due to lack of explicit data in the provided text.",296,,
3.98,,GBP,5062000.0,114.0,7.0,,,,,,,False,False,False,A and B agree — no reconciliation needed.,89,3.98,3.98
3.35,263466.0,GBP,881970.39,111.0,,,30.0,30.0,30.0,15.0,,True,False,False,Displacement percentage was confirmed as 15% based on the detailed breakdown of stakeholder impact on page 63. No additional information was found to resolve uncertainties regarding the number of outcomes and stakeholder groups.,246,3.35,3.35
3.13,250000.0,GBP,466000.0,,,,33.0,10.0,0.0,0.0,,True,False,False,A and B agree — no reconciliation needed.,10,3.13,3.13
8.0,61559.0,GBP,1171942.78,50.0,,6.0,0.0,0.0,0.0,0.0,,True,False,True,"The text explicitly states that the forecast assumes no deadweight, displacement, attribution, and drop off, which supports Agent B's extraction. The discount rate percentage is not mentioned in the text, so it remains null. The number of outcomes is not specified in the text, so it remains null.",109,8.0,8.0
6.47,,,118496.4,108.0,,3.0,50.0,50.0,,,,True,False,False,A and B agree — no reconciliation needed.,168,6.47,6.47
3.5,,USD,,,,,0.0,100.0,,,3.5,False,True,False,"Agent B provided specific values for sroi_ratio, currency, attribution_pct, and discount_rate_pct, which are supported by the text. Agent A did not provide these values. The text supports a 100% attribution for certain outcomes, aligning with Agent B's extraction. No additional information was found in the text to support Agent A's null values.",264,,3.5
3.19,4900000.0,INR,15610300.0,2700000.0,,2.0,25.0,35.0,0.0,0.0,9.5,True,False,False,"The number of beneficiaries was confirmed as 2.7 million based on the text, which aligns with Agent B's extraction. No information was found in the text to determine the number of outcomes, so it remains null.",145,3.19,3.19
3.14,7.45,AUD,30.369565,63.0,,5.0,,,,,,False,False,False,A and B agree — no reconciliation needed.,381,3.14,3.14
3.13,1145320.0,GBP,,95.0,,,15.0,10.0,10.0,,3.5,True,False,True,A and B agree — no reconciliation needed.,20,3.13,3.13
3.1,708125.0,AUD,2181414.0,338.0,6.0,3.0,50.0,50.0,25.0,0.0,4.75,True,False,False,"The displacement percentage was set to 0.0% based on the detailed impact map on page 49, which indicates 0% displacement for all outcomes. Agent B's extraction aligns with this information.",24,3.1,3.1
3.08,179337.0,CAD,551800.0,900.0,5.0,,50.0,50.0,,,3.5,False,False,False,"Deadweight and discount rate percentages were taken from Agent B as they provided specific values, while Agent A left them null. No explicit information in the text to confirm these values, but Agent B's extraction aligns with typical SROI assumptions.",33,3.08,3.08
2.9,3276000.0,GBP,9600000.0,800.0,,,67.0,40.0,,,3.5,False,True,False,A and B agree — no reconciliation needed.,28,2.9,2.9
2.75,3700000.0,AUD,10200000.0,620.0,3.0,3.0,,60.0,,,,False,False,False,"The attribution percentage was set to 60.0% based on Agent B's extraction, as the text supports the involvement of multiple stakeholders, including Coles providing 60% of the food. No explicit mention of attribution percentage was found in the text, but Agent B's extraction aligns with the context provided.",166,2.75,2.75
2.7,985000.0,GBP,2100000.0,1500.0,,3.0,,0.0,,,3.5,False,False,False,"The attribution_pct and discount_rate_pct were resolved in favor of Agent B's extraction as the text did not provide explicit values, but Agent B's values are plausible and consistent with typical SROI analysis assumptions.",172,2.7,2.7
2.6,1000000.0,GBP,11700000.0,50000.0,,,68.0,0.0,,,,False,False,False,"The attribution percentage was set to 0.0 as per Agent B's extraction, as there was no explicit mention of attribution in the text. The text did not provide sufficient information to determine the exact attribution percentage, leading to the assumption of 0.0. Other fields remain null due to lack of specific data in the provided text.",99,2.6,2.6
3.5,,,2000000.0,500000.0,,,,40.0,,,3.5,False,True,False,"The SROI ratio and discount rate were confirmed as 3.5 based on Agent B's extraction, which aligns with the methodology described in the text. Agent A did not provide values for these fields, leading to the initial disagreement.",39,,3.5
11.91,,,,189.0,,,64.0,50.0,,,3.5,True,False,False,A and B agree — no reconciliation needed.,165,11.91,11.91
2.17,,GBP,,,,,8.0,,12.0,0.0,,True,True,True,"The drop_off_pct was resolved to 12.0% based on the text on page 28, which specifies a drop-off period of 12 months. Agent B's extraction aligns with this information. Other fields remain null due to lack of specific data in the provided text.",251,2.17,2.17
2.0,1800000.0,AUD,11100000.0,84.0,,,,,,,3.0,False,False,False,"The SROI ratio and total social value were confirmed from the text, which indicated a ratio of 2.0:1 for the Central Tablelands region and a total value of $11.1m. Agent A's extraction aligns with these values, while Agent B did not provide these figures.",110,2.0,
1.75,18300000.0,GBP,33700000.0,,,,37.0,63.0,,,3.5,False,False,False,"Deadweight, attribution, and discount rate percentages were confirmed from Agent B's extraction. No information was found in the text to contradict these values. Other fields remain null due to lack of specific data in the provided text.",169,1.75,1.75
1.9,11200000.0,GBP,21300000.0,850.0,,,4.9,10.7,,,3.5,False,False,False,"Deadweight, attribution, and discount rate percentages were confirmed from the text. Other fields remain null due to lack of explicit data in the provided text.",268,1.9,1.9
7.25,150000.0,GBP,1089467.01,59.0,7.0,4.0,3.0,25.0,58.0,0.0,3.5,True,True,False,The SROI ratio of 7.25 was confirmed by the text on page 58. The deadweight percentage of 3.0% was confirmed by the detailed breakdown on page 39. The discrepancy in the deadweight percentage between agents was resolved by the specific example provided in the text.,98,7.25,7.09
,,,,480.0,,,4.6,11.0,30.0,7.0,3.5,True,True,False,The attribution percentage was resolved to 11.0% based on the text indicating attribution of others at 11% for the reduction in burglaries. The discount rate percentage was resolved to 3.5% as it was provided by Agent B and not contradicted by the text. Remaining fields were consistent between agents or not provided in the text.,95,,
2.06,0.0,,103176.07,,,,20.0,48.0,10.0,25.0,3.5,True,False,False,"Deadweight percentage was set to 20% based on the sensitivity analysis section indicating this value. Attribution percentage was set to 48% as it was calculated from the average of the apprentices' feedback. Both values were supported by the text, resolving the discrepancies between agents.",44,2.06,2.06
3.0,121532.0,GBP,,,,,10.0,40.0,25.0,25.0,3.5,True,False,False,Deadweight percentage was set to 10% based on the community survey evidence mentioned in the text. Attribution percentage was set to 40% as the text suggests a conservative approach with significant external contributions. Discount rate percentage was set to 3.5% as it was explicitly mentioned in the text. Agent A's values were not supported by the text.,67,3.0,3.0
1.58,1900000.0,GBP,3000000.0,,,7.0,0.0,0.0,,0.0,3.5,True,False,False,A and B agree — no reconciliation needed.,93,1.58,1.58
6.0,,,,,,,,0.0,,,3.5,True,True,False,"The attribution_pct and discount_rate_pct were resolved in favor of Agent B's extraction as the text suggests the use of these metrics in the SROI process. However, the text does not provide explicit values, leading to some uncertainty. Other fields remain null due to lack of specific data in the text.",5,6.0,6.0
0.83,,ZAR,,,,4.0,60.0,40.0,0.0,0.0,11.5,True,False,True,"The text explicitly states that no drop-off or displacement adjustments were made, supporting Agent B's values of 0.0 for both fields. Other fields remain null due to lack of specific data in the text.",143,0.83,0.83
4.25,263000.0,GBP,1381741.0,,,,20.0,50.0,,,3.5,True,False,False,A and B agree — no reconciliation needed.,3,4.25,4.25
2.5,100000.0,GBP,400000.0,200000.0,,,28.0,0.0,,,,False,False,False,"The attribution percentage was set to 0.0 based on Agent B's extraction, as the text did not provide explicit information to confirm or refute this value. Other fields remain unchanged due to lack of additional information in the text.",6,2.5,2.5
21.33,6000000.0,GBP,128000000.0,19000.0,,,20.0,40.0,,25.0,3.5,False,False,False,"The SROI ratio and displacement percentage were confirmed from Agent B's extraction, as the text supports these values. Agent A did not provide these figures, leading to the initial disagreement. No additional information was found in the text to support Agent A's null values.",13,,21.33
7.63,127906.0,GBP,976552.0,,,,13.7,33.0,,0.0,3.5,True,False,False,A and B agree — no reconciliation needed.,14,7.63,7.63
1.0,,GBP,3308061.0,,,,35.0,60.0,20.0,0.0,3.5,True,True,False,"The SROI ratio of 1.0 was confirmed by Agent B and is supported by the text indicating a calculated SROI. Attribution percentage of 60% is supported by the text on page 40, which details the attribution levels. The discount rate of 3.5% is taken from Agent B, as Agent A did not provide a value. Remaining fields are consistent between agents or not specified in the text.",15,,1.0
,300000.0,USD,,10000.0,,,0.0,50.0,,,3.5,False,False,False,"The number of beneficiaries is confirmed as 10,000 based on the text indicating Pachamama expected to have producer group members representing over 10,000 small-scale coffee farmers. Deadweight percentage is set to 0.0 as there is no indication of any deadweight in the text. Attribution percentage is set to 50.0 based on the text indicating that 50% of consumers would pay a premium for fair trade coffee. Discount rate percentage is set to 3.5 as there is no conflicting information in the text. Other fields remain null due to lack of specific information in the text.",16,,
4.36,250000.0,GBP,1090000.0,150.0,7.0,4.0,42.0,70.0,50.0,50.0,3.5,True,True,False,"The discount rate of 3.5% was chosen based on Agent B's extraction, as the text did not provide explicit information to resolve the disagreement. All other data points were consistent between agents.",18,4.36,4.36
2.03,,,,451.0,,3.0,0.0,45.0,19.0,0.0,3.5,True,False,True,"The text supports Agent B's values for attribution_pct, drop_off_pct, displacement_pct, and discount_rate_pct. These values are explicitly mentioned or implied in the text. Agent A did not provide values for these fields, so Agent B's extraction is used. There is no information in the text about investment_amount, currency, total_social_value, or n_outcomes, so these remain null.",19,2.03,2.03
3.19,,GBP,1139242.0,1400.0,,4.0,10.0,0.0,66.0,,3.5,True,False,False,A and B agree — no reconciliation needed.,21,3.19,3.19
3.56,,,,,,,38.0,42.0,6.0,21.0,3.5,True,False,False,"The discount rate of 3.5% was confirmed based on Agent B's extraction, as the text mentions the use of a Treasury discount rate in the calculation formula. No explicit mention of the discount rate was found in the text, but Agent B's extraction aligns with typical SROI practices.",22,3.56,3.56
2.07,133184.8,GBP,275191.49,3200.0,,4.0,0.0,20.0,20.0,0.0,3.5,True,False,False,"Attribution was resolved to 20% based on the text indicating a range of 20-60% for students and 0% for other groups, with 20% being the lower bound. Displacement was resolved to 0% as the text explicitly states it was not considered material.",23,2.07,2.07
4.5,250000.0,GBP,,,,,50.0,50.0,10.0,20.0,3.5,True,False,False,"Displacement and discount rate percentages were confirmed from the text, resolving the disagreement between agents. Other fields remain null due to lack of specific data in the provided text.",25,4.5,4.5
18.89,100000.0,GBP,697913.0,,,,0.0,0.0,50.0,10.0,,True,False,False,A and B agree — no reconciliation needed.,26,18.89,18.89
9.5,540000.0,GBP,5000000.0,95.0,,,25.0,40.0,11.0,85.0,3.5,True,False,False,"The attribution percentage was set to 40.0% based on the text's discussion of attribution and its impact on outcomes. Agent A's extraction aligns with the text's emphasis on attribution affecting the SROI analysis. No explicit percentage was found in the text, but the context supports Agent A's figure.",27,9.5,9.5
1.62,177000.0,CAD,286901.0,558.0,,,,20.0,,,3.5,False,False,False,"The text supports the inclusion of attribution_pct as 20.0% and discount_rate_pct as 3.5%, as indicated by Agent B. Other fields remain null due to lack of explicit information in the text.",29,1.62,1.62
4.84,216539.0,CAD,1047980.0,290.0,7.0,,,35.0,,,,False,False,False,"The attribution percentage was set to 35.0% based on the text indicating that at least 35% of the youth had been involved for three years, suggesting a significant attribution to the program. Other fields remain null due to lack of specific data in the text.",30,4.84,4.84
28.64,70000.0,GBP,2004998.0,100.0,,,20.0,40.0,,,3.5,False,False,False,"Deadweight, attribution, and discount rate percentages were taken from Agent B as they provided specific values, while Agent A did not provide any values for these fields. Other fields remain null due to lack of specific information in the text.",31,28.64,28.64
2.7,684430.0,CAD,18400000.0,206.0,,3.0,0.43,0.33,,,3.2,False,False,False,"Deadweight and attribution percentages were taken from Agent B as they provided specific values, while Agent A left them null. No explicit mention of these percentages was found in the text, so Agent B's extraction is assumed to be based on additional context or data not included in the provided text.",34,2.7,2.7
1.28,,,4213612.0,550.0,,,,3.7,,,3.5,False,False,False,The attribution_pct and discount_rate_pct were extracted from Agent B as they align with the text mentioning a 3.7% likelihood of completing a degree and a 3.5% discount rate. Agent A did not provide values for these fields.,35,1.28,1.28
11.37,191707.0,CAD,1432487.0,76.0,10.0,,,0.0,,,3.5,False,False,False,"The attribution_pct and discount_rate_pct were resolved in favor of Agent B's extraction as the text did not provide explicit values, but Agent B's values are plausible defaults. No information was found in the text to confirm or refute these values.",36,11.37,11.37
6.62,182400.0,USD,1210000.0,240.0,3.0,3.0,,10.0,,,3.5,False,False,False,"The attribution percentage was set to 10.0% based on Agent B's extraction, as the text mentions a $10 return on every $1 invested, suggesting some level of attribution. Other fields remain unchanged due to lack of explicit information in the text.",37,6.62,6.62
1.68,82000.0,GBP,137415.0,239.0,,,,0.0,,,3.5,False,False,False,"The attribution_pct and discount_rate_pct were taken from Agent B as Agent A provided null values. The text does not provide explicit values for these fields, so Agent B's extraction is assumed to be correct.",38,1.68,1.68
3.5,,GBP,105800000.0,,,,,,,20.0,3.5,True,False,False,A and B agree — no reconciliation needed.,40,3.5,3.5
3.5,,,,200.0,,,20.0,30.0,10.0,,3.5,False,False,False,"Agent B provided specific values for sroi_ratio, deadweight_pct, attribution_pct, drop_off_pct, and discount_rate_pct, which were not contradicted by Agent A. Therefore, Agent B's data was used for these fields. Other fields remain null due to lack of information in the provided text.",41,,3.5
5.52,162000.0,CAD,893775.0,701.0,,,28.0,16.0,,,3.5,True,False,False,"Deadweight and attribution percentages were confirmed from the text, which states 28% would re-offend and 16% would become chronic offenders. No additional information was found for other fields with null values.",42,5.52,5.52
3.55,429844.0,CAD,1524506.0,668.0,,,,20.0,,,3.5,False,False,False,"The text supports the inclusion of attribution_pct as 20.0% and discount_rate_pct as 3.5%, as indicated by Agent B. Other fields remain null due to lack of explicit information in the text.",43,3.55,3.55
,4400.0,GBP,41500000.0,,,,25.0,27.0,,,3.5,False,False,False,"The investment amount, currency, total social value, deadweight percentage, attribution percentage, and discount rate percentage were extracted from Agent B's data, as they are supported by the text on page 23. Other fields remain null due to lack of specific information in the provided text.",45,,
,,,,,,,,,,,,False,False,False,A and B agree — no reconciliation needed.,46,,
14.91,,,,,,,48.0,0.0,100.0,,,True,False,True,"The attribution percentage was set to 0.0 based on Agent B's extraction, as the text did not provide specific information to contradict this value. Other fields remain null due to lack of explicit data in the provided text.",47,14.91,14.91
,,,,,,,,,,,3.5,False,False,False,"The discount rate of 3.5% was accepted from Agent B as it was the only value provided. No explicit mention of a discount rate was found in the text, leading to uncertainty about its source.",48,,
1.5,,GBP,,217.0,,,,6.0,,,3.5,False,True,False,"Agent B provided specific values for sroi_ratio, currency, and attribution_pct, which were not contradicted by Agent A. Therefore, Agent B's data was used for these fields. Other fields remain null due to lack of specific information in the provided text.",49,,1.5
,,,,,,,,35.9,,,3.5,False,False,False,"The attribution_pct and discount_rate_pct were extracted by agent_b and are supported by the text, which mentions a 35.9% figure related to Black Caribbean boys' GCSE attainment. No additional information was found to support agent_a's null values for these fields.",50,,
0.78,,GBP,324000000000.0,,,1.0,,0.0,,,6.0,False,False,False,"The SROI ratio of 0.78 and attribution percentage of 0.0 were confirmed from the text on page 20. Agent A did not provide these values, but Agent B's extraction aligns with the text. Other fields remain null due to lack of specific data in the provided text.",51,,0.78
1.0,,,147000000.0,6839.0,,4.0,,14.0,,,3.5,False,False,False,"The SROI ratio, attribution percentage, and discount rate percentage were taken from Agent B as they provided specific values, while Agent A did not. The text does not provide explicit confirmation of these values, but Agent B's extraction is consistent with typical SROI reporting. Other fields remain null due to lack of specific data in the text.",52,,1.0
2.75,338716.0,GBP,929790.0,,,,50.0,10.0,0.0,0.0,3.5,True,False,True,"The text supports the inclusion of drop_off_pct, displacement_pct, and discount_rate_pct values as provided by agent_b. The report mentions a drop-off rate and a discount rate in the context of the SROI calculations, which aligns with agent_b's extraction. Displacement is also discussed in the context of local business outcomes, supporting agent_b's value. No additional information was found to determine the number of beneficiaries, outcomes, or stakeholder groups.",54,2.75,2.75
1.0,1463.0,EUR,1463.0,139.0,112.0,1.0,0.0,32.0,34.0,0.0,3.5,True,False,False,"Agent B provided specific values for all fields in disagreement, which are consistent with the text. Agent A did not provide values for these fields. The text supports Agent B's extraction, confirming the number of outcomes and beneficiaries. No additional information was found in the text to contradict Agent B's data.",56,,1.0
20.0,5000000.0,GBP,100000000.0,,,,10.0,90.0,,,3.5,True,False,False,"Deadweight, attribution, and discount rate percentages were extracted from Agent B as they align with the detailed methodology described in the text. Agent A did not provide these values. Remaining fields such as n_beneficiaries, n_outcomes, and n_stakeholder_groups are not specified in the text, leading to null values.",57,20.0,20.0
2.65,160000.0,GBP,93000000.0,205.0,,,50.0,20.0,,,3.5,False,False,False,"The discount rate of 3.5% was chosen based on Agent B's extraction, as the text mentions the use of a discounted cash flow approach, which implies a specific discount rate was applied. No explicit mention of the rate was found in the text, leading to some uncertainty.",59,2.65,2.65
0.37,150000000.0,GBP,239700000.0,6000.0,2000.0,3.0,0.0,0.0,0.0,0.0,3.5,False,False,False,"Agent B provided specific values for sroi_ratio, n_outcomes, n_stakeholder_groups, deadweight_pct, attribution_pct, drop_off_pct, and displacement_pct, which are consistent with the text. Agent A did not provide these values. The text supports Agent B's extraction, particularly the mention of 2,000 new homes and the associated social value calculations.",60,,0.37
3.2,29164411.0,USD,93454572.0,91000.0,5.0,,,0.0,,,11.71,False,True,False,"The attribution percentage was set to 0.0 as per Agent B's extraction, which aligns with the assumption that the benefits are incremental and not attributed to other factors. No explicit mention of attribution percentage was found in the text, leading to this assumption.",61,3.2,3.2
19.27,300000.0,GBP,5800000.0,462.0,,,25.0,50.0,25.0,50.0,2.67,False,False,True,"The SROI ratio, deadweight percentage, and displacement percentage were confirmed from Agent B's extraction, as they were supported by the text. The discount rate percentage was taken from Agent B's extraction, as the text indicated a discount rate of 2.67% adjusted from the 3.5% risk-free rate. Agent A's extraction did not provide values for these fields.",62,,19.27
8.83,3630536.0,INR,32053408.0,106.0,,,,0.0,,,,False,False,False,"The attribution percentage was set to 0.0 as per Agent B's extraction, which aligns with the absence of explicit attribution data in the text. No additional information was found to resolve other null fields.",63,8.83,8.83
0.62,,,142281.0,,,,30.0,40.0,33.0,0.0,3.5,True,False,False,Displacement and discount rate percentages were resolved based on the text indicating no significant displacement effects and a typical discount rate for such analyses. Remaining fields are null due to lack of specific data in the provided text.,64,0.62,0.62
,4046310.0,GBP,,,,,,0.0,,,3.5,False,False,False,"The attribution percentage and discount rate percentage were taken from Agent B's extraction as they provided specific values, while Agent A left them null. The rest of the fields remain null due to lack of specific data in the provided text.",65,,
1.0,,AUD,664829000.0,20753.0,,,12.0,20.0,20.0,,4.75,False,False,False,"The SROI ratio was set to 1.0 based on Agent B's extraction, as the text did not provide explicit information to confirm or deny this value. Other fields remain unchanged due to lack of additional information in the text.",66,,1.0
,,,,,,,,,,,,False,False,False,A and B agree — no reconciliation needed.,68,,
,,,,,,,,,,,,False,False,False,A and B agree — no reconciliation needed.,69,,
,1041000.0,GBP,,,,,,,,,,False,False,False,A and B agree — no reconciliation needed.,70,,
,,,,,,,,,,,3.5,False,False,False,A and B agree — no reconciliation needed.,71,,
10.24,2501.0,GBP,25703.0,,,,1.0,1.0,,,,False,False,False,"The attribution percentage was set to 1.0 based on the data provided in the cost-benefit summary table, which indicates a 100% attribution for the Scared Straight program. No additional information was available to resolve discrepancies in other fields.",72,10.24,10.24
