id,title,principle,llm_score,llm_confidence,llm_key_phrase,llm_justification,keyword_score,error
55,Reports Database:Substance Abuse Prevention Dollars and Cent,p8_be_responsive,0,high,none,The excerpt does not provide any specific recommendations or evidence of organizational learning.,1,
55,Reports Database:Substance Abuse Prevention Dollars and Cent,p7_verify_result,0,high,none,The excerpt does not provide any evidence of sensitivity analysis or testing of key assumptions.,0,
55,Reports Database:Substance Abuse Prevention Dollars and Cent,p4_only_material,0,high,none,The excerpt does not provide any explicit discussion of outcomes that were excluded or the reasons for their exclusion.,1,
55,Reports Database:Substance Abuse Prevention Dollars and Cent,p2_understand_changes,0,medium,none,The excerpt does not provide any specific evidence of a theory of change or link between activities and outcomes.,1,
55,Reports Database:Substance Abuse Prevention Dollars and Cent,p6_be_transparent,1,medium,Assumptions .........................................................................................................5,The report acknowledges the existence of assumptions but does not provide specific details or documentation about them.,2,
55,Reports Database:Substance Abuse Prevention Dollars and Cent,p1_involve_stakeholders,0,high,none,The excerpt does not provide any specific evidence of stakeholder engagement in the SROI process.,0,
55,Reports Database:Substance Abuse Prevention Dollars and Cent,p3_value_what_matters,0,high,none,The excerpt does not provide any specific evidence of monetisation proxies or financial values assigned to outcomes.,1,
144,Reports Database:The YSS Pathways Accommodation Mentoring (P,p4_only_material,0,high,none,The report does not explicitly discuss any outcomes that were excluded or provide reasons for their exclusion.,0,
144,Reports Database:The YSS Pathways Accommodation Mentoring (P,p3_value_what_matters,1,medium,DWP and MOJ figures for costs relating to state benefits and criminal costs,The report mentions using government cost data but does not specify which exact values or proxies were applied.,1,
144,Reports Database:The YSS Pathways Accommodation Mentoring (P,p6_be_transparent,1,medium,a number of assumptions have to be made,The report acknowledges the need for assumptions but does not provide specific details or tables documenting them.,2,
144,Reports Database:The YSS Pathways Accommodation Mentoring (P,p8_be_responsive,1,medium,the following has emerged: That for the period 1st April 2012 – 31st March 2013,"The report acknowledges outcomes and provides some insights but lacks specific, actionable recommendations.",2,
144,Reports Database:The YSS Pathways Accommodation Mentoring (P,p2_understand_changes,2,high,"19 clients have secured permanent accommodation, attributing 81% of this outcome to the project.","The report provides specific outcomes linked to activities, demonstrating a clear causal pathway and attribution rates.",1,
144,Reports Database:The YSS Pathways Accommodation Mentoring (P,p7_verify_result,1,medium,a number of assumptions have to be made,The report acknowledges the need for assumptions but does not provide specific sensitivity analysis or scenarios.,1,
144,Reports Database:The YSS Pathways Accommodation Mentoring (P,p1_involve_stakeholders,1,medium,11 in-depth interviews with offenders who are service users of PAM,"While the report mentions stakeholder interviews, it lacks detailed evidence of active engagement in identifying outcomes or validating findings.",1,
144,Reports Database:The YSS Pathways Accommodation Mentoring (P,p5_do_not_overclaim,2,high,"NEF accredited reports as the source for deadweight, displacement and drop-off figures","The report provides specific sources and acknowledges the use of adjustment factors with stated rates for deadweight, displacement, and drop-off.",2,
12,Reports Database:Food Connect Brisbane Forecast SROI Report,p4_only_material,0,high,none,The report does not explicitly discuss any outcomes that were excluded or provide justification for their exclusion.,2,
12,Reports Database:Food Connect Brisbane Forecast SROI Report,p5_do_not_overclaim,1,medium,deadweight is 'taken into account',The report acknowledges deadweight but does not provide specific rates or adjustments.,0,
12,Reports Database:Food Connect Brisbane Forecast SROI Report,p2_understand_changes,1,medium,Real outcomes due to Food Connect Brisbane,The report lists outcomes associated with stakeholders but does not clearly document how activities lead to these outcomes.,1,
12,Reports Database:Food Connect Brisbane Forecast SROI Report,p7_verify_result,0,high,none,The report does not provide any evidence of sensitivity analysis or scenario testing for the SROI ratio.,1,
12,Reports Database:Food Connect Brisbane Forecast SROI Report,p3_value_what_matters,0,high,none,The report does not provide specific financial proxies or unit values for monetising outcomes.,1,
12,Reports Database:Food Connect Brisbane Forecast SROI Report,p6_be_transparent,1,medium,an accredited SROI practitioner completed the analysis,"The report acknowledges the involvement of an accredited SROI practitioner, but does not provide specific assumptions or their justifications.",0,
12,Reports Database:Food Connect Brisbane Forecast SROI Report,p8_be_responsive,1,medium,This analysis will be used by FCB as a baseline for an evaluative SROI,"The report acknowledges the use of the analysis for future evaluations, but lacks specific, actionable recommendations.",0,
12,Reports Database:Food Connect Brisbane Forecast SROI Report,p1_involve_stakeholders,1,medium,major stakeholder groups who will benefit from FCB's operations include,The report acknowledges stakeholder groups but lacks specific details on how they were actively engaged in the SROI process.,1,
83,Reports Database:Veterans Contact Point SROI Report,p3_value_what_matters,0,high,none,There is no evidence of specific financial proxies or monetisation details provided in the excerpt.,0,
83,Reports Database:Veterans Contact Point SROI Report,p5_do_not_overclaim,0,high,none,"The excerpt does not provide any specific evidence or mention of adjustments for deadweight, attribution, displacement, or drop-off.",2,
83,Reports Database:Veterans Contact Point SROI Report,p4_only_material,0,high,none,The excerpt does not provide any explicit discussion of outcomes that were excluded or the reasons for their exclusion.,0,
83,Reports Database:Veterans Contact Point SROI Report,p7_verify_result,0,high,none,The excerpt does not provide any evidence of sensitivity analysis or testing of key assumptions.,2,
83,Reports Database:Veterans Contact Point SROI Report,p8_be_responsive,1,medium,VCP Project Development Recommendations,"The report includes a section on recommendations, but it is unclear if they are specific and actionable.",2,
83,Reports Database:Veterans Contact Point SROI Report,p1_involve_stakeholders,0,high,none,The excerpt does not provide any specific evidence of stakeholder engagement in the SROI process.,1,
83,Reports Database:Veterans Contact Point SROI Report,p6_be_transparent,0,high,none,The excerpt does not provide any specific assumptions or details about data sources.,2,
83,Reports Database:Veterans Contact Point SROI Report,p2_understand_changes,1,medium,7.3 Outcomes,The report acknowledges outcomes but does not clearly link them to specific activities or provide a detailed theory of change.,2,
8,"Reports Database:HITTING THE TARGET, MISSING THE POINT: How ",p7_verify_result,0,high,none,The excerpt does not provide any evidence of sensitivity analysis or scenario testing related to the SROI ratio.,0,
8,"Reports Database:HITTING THE TARGET, MISSING THE POINT: How ",p8_be_responsive,0,high,none,The excerpt does not provide any specific recommendations or lessons learned from the SROI process.,1,
8,"Reports Database:HITTING THE TARGET, MISSING THE POINT: How ",p2_understand_changes,1,medium,outputs provide a true measurement of change,The report acknowledges the importance of measuring outcomes but does not provide a clear causal pathway linking specific activities to those outcomes.,1,
8,"Reports Database:HITTING THE TARGET, MISSING THE POINT: How ",p1_involve_stakeholders,0,high,none,The excerpt does not provide any specific evidence of stakeholder engagement in the SROI process.,1,
8,"Reports Database:HITTING THE TARGET, MISSING THE POINT: How ",p4_only_material,0,high,none,The excerpt does not provide any explicit discussion of outcomes that were excluded or the reasons for their exclusion.,0,
8,"Reports Database:HITTING THE TARGET, MISSING THE POINT: How ",p5_do_not_overclaim,1,medium,governments have potentially exaggerated the improvements secured,"The report acknowledges the potential for over-claiming but does not provide specific rates or adjustments for deadweight, attribution, or drop-off.",0,
8,"Reports Database:HITTING THE TARGET, MISSING THE POINT: How ",p3_value_what_matters,0,high,none,The excerpt does not provide any specific evidence of monetisation proxies or unit values used to convert outcomes to money.,2,
8,"Reports Database:HITTING THE TARGET, MISSING THE POINT: How ",p6_be_transparent,1,medium,the approach taken to evaluations has relied too heavily on two flawed assumptions,The report acknowledges assumptions made in evaluations but does not provide specific details or documentation of these assumptions.,2,
139,Reports Database:NSW Employment Program: Evaluation and Soci,p8_be_responsive,1,medium,continue the programme,"The report mentions the need for ongoing evaluation and improvement but lacks specific, actionable recommendations.",0,
139,Reports Database:NSW Employment Program: Evaluation and Soci,p7_verify_result,1,medium,using conservative assumptions (incl. limiting benefits to job placements),The report acknowledges the use of conservative assumptions but does not provide specific sensitivity or scenario analyses.,1,
139,Reports Database:NSW Employment Program: Evaluation and Soci,p3_value_what_matters,0,high,none,The excerpt does not provide specific financial proxies or unit values used to monetize outcomes.,0,
139,Reports Database:NSW Employment Program: Evaluation and Soci,p4_only_material,0,high,none,The report does not explicitly discuss any outcomes that were excluded or provide a materiality assessment.,0,
139,Reports Database:NSW Employment Program: Evaluation and Soci,p2_understand_changes,1,medium,"Trained 90 young people for work, of which 44 were placed in employment",The report identifies outcomes related to employment placements but lacks a clear causal pathway linking activities to these outcomes.,1,
139,Reports Database:NSW Employment Program: Evaluation and Soci,p6_be_transparent,1,medium,Using conservative assumptions (incl. limiting benefits to job placements),The report acknowledges the use of assumptions but does not provide specific details or a table listing them.,1,
139,Reports Database:NSW Employment Program: Evaluation and Soci,p1_involve_stakeholders,1,medium,evaluated against the implicit and explicit targets set by stakeholders,The report acknowledges stakeholder involvement in setting targets but lacks specific details on their active engagement in the SROI process.,2,
139,Reports Database:NSW Employment Program: Evaluation and Soci,p5_do_not_overclaim,1,medium,A key challenge in assessing social return on investment lies in determining Whitelion’s contribution,The report acknowledges the challenge of attributing outcomes to the program but does not provide specific adjustment factors or rates.,0,
242,"Reports Database:Through a glass, darkly: Measuring the soci",p7_verify_result,0,high,none,The excerpt does not provide any evidence of sensitivity analysis or testing of key assumptions.,0,
242,"Reports Database:Through a glass, darkly: Measuring the soci",p3_value_what_matters,0,high,none,The excerpt does not provide any specific evidence of monetisation proxies or financial values assigned to outcomes.,1,
242,"Reports Database:Through a glass, darkly: Measuring the soci",p6_be_transparent,0,high,none,The excerpt does not provide any specific assumptions or their justifications.,2,
242,"Reports Database:Through a glass, darkly: Measuring the soci",p4_only_material,0,high,none,The excerpt does not provide any explicit discussion of outcomes that were excluded or the reasons for their exclusion.,0,
242,"Reports Database:Through a glass, darkly: Measuring the soci",p5_do_not_overclaim,0,high,none,"The excerpt does not provide any specific evidence or mention of adjustments for deadweight, attribution, displacement, or drop-off.",0,
242,"Reports Database:Through a glass, darkly: Measuring the soci",p8_be_responsive,1,medium,urgent work was needed to try to try to shed light on this difficult and contested area,"The report acknowledges the need for further exploration and understanding of social value, but lacks specific, actionable recommendations.",1,
242,"Reports Database:Through a glass, darkly: Measuring the soci",p1_involve_stakeholders,0,high,none,The excerpt does not provide any specific evidence of stakeholder engagement in the SROI process.,1,
242,"Reports Database:Through a glass, darkly: Measuring the soci",p2_understand_changes,1,medium,the outcomes should be described and measured,The report acknowledges the need to articulate and measure outcomes but does not provide specific links between activities and outcomes.,1,
17,Reports Database:Public Social Partnerships Employability Pi,p6_be_transparent,0,high,none,The report does not explicitly document any specific assumptions or their justifications.,1,
17,Reports Database:Public Social Partnerships Employability Pi,p8_be_responsive,0,high,none,The excerpt does not provide any specific recommendations or lessons learned from the SROI process.,0,
17,Reports Database:Public Social Partnerships Employability Pi,p5_do_not_overclaim,0,high,none,"The report does not provide any specific evidence or rates for deadweight, attribution, displacement, or drop-off.",0,
17,Reports Database:Public Social Partnerships Employability Pi,p3_value_what_matters,0,high,none,The report does not provide specific financial proxies or unit values used to monetize outcomes.,1,
17,Reports Database:Public Social Partnerships Employability Pi,p4_only_material,0,high,none,The report does not explicitly discuss any outcomes that were excluded or provide reasons for their exclusion.,1,
17,Reports Database:Public Social Partnerships Employability Pi,p7_verify_result,0,high,none,The report does not provide any evidence of sensitivity analysis or scenario testing for the SROI ratio.,1,
17,Reports Database:Public Social Partnerships Employability Pi,p1_involve_stakeholders,1,medium,engagement with the key stakeholders and a range of outcomes were created,"While the report mentions engagement with stakeholders and lists outcomes, it lacks specific details on how stakeholders were actively involved in the SROI process.",2,
17,Reports Database:Public Social Partnerships Employability Pi,p2_understand_changes,1,medium,An impact map was created following engagement with the key stakeholders,"The report acknowledges the creation of an impact map and lists outcomes, but does not clearly document how activities specifically lead to these outcomes.",2,
131,Reports Database:Vienna University of Economics and Business,p4_only_material,0,high,none,The report does not explicitly discuss any outcomes that were excluded or provide reasons for their exclusion.,0,
131,Reports Database:Vienna University of Economics and Business,p5_do_not_overclaim,1,medium,some of which can only in part be attributed to Casa Abraham,The report acknowledges attribution but lacks specific rates or detailed adjustments.,0,
131,Reports Database:Vienna University of Economics and Business,p6_be_transparent,1,medium,the outcome must be translated into suitable indicators,"The report acknowledges the need for indicators and corroboration by data, but lacks specific documented assumptions.",1,
131,Reports Database:Vienna University of Economics and Business,p2_understand_changes,1,medium,the outcome must be translated into suitable indicators,The report acknowledges the need to translate outcomes into indicators but does not provide specific links between activities and outcomes.,1,
131,Reports Database:Vienna University of Economics and Business,p1_involve_stakeholders,1,medium,the most important stakeholders and their objectives must be identified,"While the report acknowledges the identification of stakeholders, it lacks specific details on how they were actively engaged in the SROI process.",1,
131,Reports Database:Vienna University of Economics and Business,p8_be_responsive,1,medium,none,"The report mentions the evaluation and analysis but lacks specific, actionable recommendations.",0,
131,Reports Database:Vienna University of Economics and Business,p7_verify_result,2,high,a scenario was calculated within the framework of a sensitivity analysis,The report explicitly describes a sensitivity analysis that tests the SROI value under a scenario of full capacity utilization.,2,
131,Reports Database:Vienna University of Economics and Business,p3_value_what_matters,1,medium,monetary terms of all stakeholders amounting to 606 405 Euros,The report mentions a monetary value assigned to the outcomes but lacks specific details on the proxies used for monetization.,2,
347,Reports Database:Evaluation of Four Recovery Communities acr,p8_be_responsive,1,medium,the programme was achieving its objectives,"The report acknowledges the need for evaluation and improvement but lacks specific, actionable recommendations.",1,
347,Reports Database:Evaluation of Four Recovery Communities acr,p2_understand_changes,1,medium,A number of contextual factors were identified across the recovery communities,The report acknowledges outcomes and contextual factors but does not provide a clear causal pathway linking activities to specific outcomes.,1,
347,Reports Database:Evaluation of Four Recovery Communities acr,p6_be_transparent,1,medium,A mixed methods approach was used for the evaluation,The report acknowledges the use of a mixed methods approach for evaluation but does not provide specific assumptions or detailed documentation of those assumptions.,1,
347,Reports Database:Evaluation of Four Recovery Communities acr,p3_value_what_matters,0,high,none,The excerpt does not provide any specific financial proxies or unit values used for monetising outcomes.,1,
347,Reports Database:Evaluation of Four Recovery Communities acr,p7_verify_result,0,high,none,The excerpt does not provide any evidence of sensitivity analysis or testing of key assumptions related to the SROI ratio.,0,
347,Reports Database:Evaluation of Four Recovery Communities acr,p4_only_material,0,high,none,The excerpt does not provide any explicit discussion of outcomes that were excluded or the reasons for their exclusion.,0,
347,Reports Database:Evaluation of Four Recovery Communities acr,p1_involve_stakeholders,1,medium,experiences and perceptions of key stakeholders,The report acknowledges stakeholder involvement in the evaluation process but lacks specific details on how they were actively engaged.,1,
347,Reports Database:Evaluation of Four Recovery Communities acr,p5_do_not_overclaim,0,high,none,"The report does not provide any specific evidence or rates for deadweight, attribution, displacement, or drop-off.",0,
266,Reports Database:Social Return on Investment Report: The YSS,p4_only_material,0,high,none,The report does not explicitly discuss any outcomes that were excluded or provide reasons for their exclusion.,0,
266,Reports Database:Social Return on Investment Report: The YSS,p7_verify_result,0,high,none,The report does not provide any evidence of sensitivity analysis or scenario testing for the SROI ratio.,1,
266,Reports Database:Social Return on Investment Report: The YSS,p3_value_what_matters,0,high,none,The excerpt does not provide any specific financial proxies or unit values used to monetize outcomes.,1,
266,Reports Database:Social Return on Investment Report: The YSS,p5_do_not_overclaim,1,medium,deadweight is 'taken into account',The report acknowledges the consideration of deadweight but does not provide specific rates or adjustments.,0,
266,Reports Database:Social Return on Investment Report: The YSS,p8_be_responsive,1,medium,The main themes and recommendations to emerge from this research are:,"The report includes a recommendations section, but the recommendations are not specific or actionable.",2,
266,Reports Database:Social Return on Investment Report: The YSS,p6_be_transparent,1,medium,data collected by YSS,The report acknowledges data collection but does not specify the assumptions or their justifications.,2,
266,Reports Database:Social Return on Investment Report: The YSS,p2_understand_changes,1,medium,"The input (costs of running the project - £121,733) and outputs (224 current cases)",The report acknowledges outcomes but does not clearly document how activities lead to these outcomes.,1,
266,Reports Database:Social Return on Investment Report: The YSS,p1_involve_stakeholders,1,medium,"in-depth interviews with the Young Carers Project (YCP) Team, young carers and their families",The report acknowledges stakeholder involvement through interviews but lacks detailed evidence of active engagement in identifying outcomes or validating findings.,1,
4,Reports Database:North Ayrshire Fab Pad Project,p6_be_transparent,0,high,none,The report does not explicitly document any specific assumptions or their justifications.,0,
4,Reports Database:North Ayrshire Fab Pad Project,p5_do_not_overclaim,1,medium,acknowledged but without specific application,The report mentions the need to account for deadweight and other factors but does not provide specific rates or adjustments.,0,
4,Reports Database:North Ayrshire Fab Pad Project,p7_verify_result,0,high,none,The report does not provide any evidence of sensitivity analysis or scenario testing for the SROI ratio.,1,
4,Reports Database:North Ayrshire Fab Pad Project,p3_value_what_matters,1,medium,16 financial indicators were used in the study to measure these impacts,The report acknowledges the use of financial indicators to measure impacts but does not specify the monetisation proxies or their values.,1,
4,Reports Database:North Ayrshire Fab Pad Project,p4_only_material,1,medium,the study was unable to explore some aspects of value creation,The report acknowledges exclusions but lacks specific details on what was excluded and why.,0,
4,Reports Database:North Ayrshire Fab Pad Project,p8_be_responsive,1,medium,the study will have under-represented the social value arising from Fab Pad,"The report acknowledges the need for further exploration of impacts but lacks specific, actionable recommendations.",1,
4,Reports Database:North Ayrshire Fab Pad Project,p1_involve_stakeholders,1,medium,"The stakeholders of Fab Pad range from internal ones - the participants, the staff","While stakeholders are acknowledged, there is no specific evidence of their active engagement in the SROI process.",1,
4,Reports Database:North Ayrshire Fab Pad Project,p2_understand_changes,2,medium,The impact map constructed for North Ayrshire Fab Pad showed that a range of impacts were being created,"The report provides a clear impact map linking specific outcomes to the activities of the Fab Pad project, demonstrating a substantive application of the theory of change.",2,
1,Reports Database:Subliminal Directions Social Return on Inve,p7_verify_result,1,medium,assumptions have been made based on the information provided by stakeholders,The report acknowledges assumptions but does not provide specific sensitivity or scenario analyses.,1,
1,Reports Database:Subliminal Directions Social Return on Inve,p3_value_what_matters,1,medium,7 financial indicators were used in the study to measure the impacts,The report acknowledges the use of financial indicators to measure impacts but does not specify the proxies or their values.,1,
1,Reports Database:Subliminal Directions Social Return on Inve,p2_understand_changes,1,medium,The impact map constructed for Gateway2Media showed that a range of impacts,The report acknowledges anticipated impacts but does not provide a clear causal pathway linking activities to specific outcomes.,2,
1,Reports Database:Subliminal Directions Social Return on Inve,p4_only_material,1,medium,The impacts on participant’s families was not included,The report acknowledges the exclusion of family impacts but lacks specific details on other excluded outcomes.,2,
1,Reports Database:Subliminal Directions Social Return on Inve,p5_do_not_overclaim,1,medium,difficult to estimate the attribution of value solely to Subliminal Directions,The report acknowledges the need for attribution but lacks specific rates or adjustments applied.,1,
1,Reports Database:Subliminal Directions Social Return on Inve,p1_involve_stakeholders,1,medium,"The stakeholders range from internal ones - the young people, the staff...","While stakeholders are acknowledged, there is no specific evidence of active engagement activities such as interviews or focus groups.",2,
1,Reports Database:Subliminal Directions Social Return on Inve,p8_be_responsive,1,medium,anecdotal evidence was gained by the unit of the impact of the course,"The report acknowledges learning and impact but lacks specific, actionable recommendations or changes to program design.",0,
1,Reports Database:Subliminal Directions Social Return on Inve,p6_be_transparent,1,medium,assumptions have been made based on the information provided by stakeholders,The report acknowledges that assumptions were made but does not provide specific details or a table listing these assumptions.,1,
53,Reports Database:Craft Cafe SROI Evaluation,p3_value_what_matters,0,high,none,The excerpt does not provide any specific evidence of monetisation proxies or financial values assigned to outcomes.,1,
53,Reports Database:Craft Cafe SROI Evaluation,p1_involve_stakeholders,0,high,none,The report does not provide any specific evidence of stakeholder engagement in the SROI process.,2,
53,Reports Database:Craft Cafe SROI Evaluation,p6_be_transparent,1,medium,data points to a rapidly ageing population in Scotland,The report acknowledges the collection of data but does not specify key assumptions or their justifications.,2,
53,Reports Database:Craft Cafe SROI Evaluation,p7_verify_result,1,medium,Sensitivity Analysis and Verification,The report acknowledges sensitivity analysis but does not provide specific applications or results.,2,
53,Reports Database:Craft Cafe SROI Evaluation,p8_be_responsive,1,medium,none,"The report acknowledges the need for recommendations but does not provide specific, actionable recommendations.",1,
53,Reports Database:Craft Cafe SROI Evaluation,p5_do_not_overclaim,0,high,none,"The excerpt does not provide any specific evidence or mention of adjustments for deadweight, attribution, displacement, or drop-off.",0,
53,Reports Database:Craft Cafe SROI Evaluation,p2_understand_changes,1,medium,The Outcomes of the Craft Café Programme,The report lists several outcomes but does not explicitly link them to specific activities or provide a theory of change.,2,
53,Reports Database:Craft Cafe SROI Evaluation,p4_only_material,0,high,none,The report does not provide any explicit discussion of outcomes that were excluded or the reasons for their exclusion.,1,
112,Reports Database:Integrating Adaptation into REDD+ : Potenti,p4_only_material,0,high,none,The excerpt does not provide any explicit discussion of outcomes that were excluded or the reasons for their exclusion.,0,
112,Reports Database:Integrating Adaptation into REDD+ : Potenti,p8_be_responsive,0,high,none,The excerpt does not provide any specific recommendations or evidence of organizational learning.,0,
112,Reports Database:Integrating Adaptation into REDD+ : Potenti,p3_value_what_matters,0,high,none,There is no evidence of specific financial proxies or unit values used to monetize outcomes.,0,
112,Reports Database:Integrating Adaptation into REDD+ : Potenti,p5_do_not_overclaim,0,high,none,"The excerpt does not provide any evidence or mention of adjustments for deadweight, attribution, displacement, or drop-off.",0,
112,Reports Database:Integrating Adaptation into REDD+ : Potenti,p2_understand_changes,1,medium,Example of theory of change,The report mentions a theory of change but does not provide specific details linking activities to outcomes.,2,
112,Reports Database:Integrating Adaptation into REDD+ : Potenti,p1_involve_stakeholders,1,medium,"Community workshop, Interviews with stakeholders","The report mentions community workshops and interviews with stakeholders, indicating some level of engagement, but lacks detailed evidence of how stakeholders were actively involved in identifying outcomes or validating findings.",1,
112,Reports Database:Integrating Adaptation into REDD+ : Potenti,p7_verify_result,0,high,none,The excerpt does not provide any evidence of sensitivity analysis or scenario testing related to the SROI ratio.,1,
112,Reports Database:Integrating Adaptation into REDD+ : Potenti,p6_be_transparent,0,high,none,The excerpt does not provide any specific assumptions or their justifications.,1,
11,Reports Database:Food Connect Sydney Forecast SROI Report,p7_verify_result,0,high,none,The report does not provide any evidence of sensitivity analysis or scenario testing for the SROI ratio.,1,
11,Reports Database:Food Connect Sydney Forecast SROI Report,p2_understand_changes,1,medium,Real outcomes due to Food Connect,The report lists outcomes for various stakeholders but does not clearly document how specific activities lead to these outcomes.,1,
11,Reports Database:Food Connect Sydney Forecast SROI Report,p3_value_what_matters,1,medium,"Increased revenue for Food Connect Foundation $117,143",The report mentions specific financial outcomes for stakeholders but lacks detailed monetisation proxies or sources.,1,
11,Reports Database:Food Connect Sydney Forecast SROI Report,p4_only_material,0,high,none,The report does not explicitly discuss any outcomes that were excluded or provide a materiality assessment.,0,
11,Reports Database:Food Connect Sydney Forecast SROI Report,p1_involve_stakeholders,1,medium,major stakeholder groups who will benefit from FCS include,The report acknowledges stakeholder groups but lacks specific details on how they were actively engaged in the SROI process.,1,
11,Reports Database:Food Connect Sydney Forecast SROI Report,p5_do_not_overclaim,1,medium,Social value calculated prior to discount rate being applied,"The report acknowledges the need for adjustments but does not provide specific rates for deadweight, attribution, or drop-off.",0,
11,Reports Database:Food Connect Sydney Forecast SROI Report,p6_be_transparent,1,medium,acknowledged but without specific application,"The report mentions the involvement of Social Ventures Australia and outlines stakeholder benefits, but does not provide specific assumptions or detailed documentation of data sources.",0,
11,Reports Database:Food Connect Sydney Forecast SROI Report,p8_be_responsive,1,medium,The analysis will be used to demonstrate to existing and potential investors,"The report acknowledges the need for future evaluations but lacks specific, actionable recommendations.",0,
372,Reports Database:The Social Value of Carmichael Centre,p6_be_transparent,0,high,none,The excerpt does not provide any specific assumptions or their justifications.,2,
372,Reports Database:The Social Value of Carmichael Centre,p2_understand_changes,1,medium,Mapping outcomes,The report acknowledges the mapping of outcomes but does not provide specific details linking activities to those outcomes.,2,
372,Reports Database:The Social Value of Carmichael Centre,p8_be_responsive,0,high,none,The excerpt does not provide any specific recommendations or evidence of organizational learning.,2,
372,Reports Database:The Social Value of Carmichael Centre,p4_only_material,0,high,none,The excerpt does not provide any explicit discussion of outcomes that were excluded or the reasons for their exclusion.,1,
372,Reports Database:The Social Value of Carmichael Centre,p5_do_not_overclaim,0,high,none,"The excerpt does not provide any specific evidence or rates for deadweight, attribution, displacement, or drop-off.",2,
372,Reports Database:The Social Value of Carmichael Centre,p3_value_what_matters,0,high,none,There is no evidence of specific financial proxies or unit values used for monetisation in the provided text.,1,
372,Reports Database:The Social Value of Carmichael Centre,p7_verify_result,0,high,none,The excerpt does not provide any evidence of sensitivity analysis or testing of key assumptions.,2,
372,Reports Database:The Social Value of Carmichael Centre,p1_involve_stakeholders,1,medium,all those stakeholders who gave of their time to contribute to this evaluation,"While stakeholders are acknowledged for their contributions, there is no specific detail on how they were actively engaged in the SROI process.",2,
58,Reports Database:Sunderland XL Youth Villages SROI Evaluatio,p1_involve_stakeholders,1,medium,Scope and stakeholders Young people,The report acknowledges stakeholder groups but lacks specific details on their engagement in the SROI process.,2,
58,Reports Database:Sunderland XL Youth Villages SROI Evaluatio,p8_be_responsive,1,medium,Recommendations for future analysis,"The report mentions a section on recommendations, but it lacks specific, actionable details.",2,
