sroi_ratio,investment_amount,currency,total_social_value,n_beneficiaries,n_outcomes,n_stakeholder_groups,deadweight_pct,attribution_pct,drop_off_pct,displacement_pct,discount_rate_pct,has_sensitivity_analysis,has_proxy_sources,has_materiality_assessment,extraction_notes,report_id,_agent_a_ratio,_agent_b_ratio
,,,,53.0,8.0,,,,,,,True,False,False,"The number of outcomes was confirmed as 8 based on the report excerpt indicating eight people moved into paid employment. No other discrepancies were noted, but some fields remain unpopulated due to lack of explicit data in the provided excerpt.",94,,
,,,,1200.0,,3.0,,,,,,True,False,False,The number of beneficiaries and stakeholder groups were confirmed based on the report's forecast for 2013/14 and the identification of primary and secondary stakeholders. No additional data was available to verify other fields.,366,,
,,,,,,3.0,,,,,,False,False,False,"The number of stakeholder groups was determined to be 3 based on the report excerpt, which identifies three material stakeholders: family members and friends, drug and alcohol users in treatment, and the NHS and Criminal Justice System. No other discrepancies were noted, but many fields remain unpopulated due to lack of specific data in the provided excerpt.",84,,
4.65,,,691225.0,,,,,,,,,False,False,True,Agents A and B agree — no reconciliation needed.,7,4.65,4.65
4.53,489463.0,GBP,2218458.0,9500.0,7.0,4.0,,,,,3.5,False,False,False,"The number of outcomes was confirmed as 7 based on the report's impact map section, which lists seven distinct outcomes.",107,4.53,4.53
4.53,489463.0,GBP,7356818.0,9500.0,6.0,5.0,,,,,3.5,False,False,False,The number of outcomes was confirmed as 6 based on the report excerpt detailing the outcomes. No other uncertainties remain.,108,4.53,4.53
4.35,1.0,GBP,43500.0,,,,,,,,,False,False,True,"The investment amount and total social value were confirmed based on the report's statement that for every £1 invested, a social return of £4.35 was realized, leading to a total social value of £43,500. No additional information was available for other fields.",2,4.35,4.35
,225000.0,AED,225000.0,20.0,,,,,,,,True,False,False,"The total social value and number of beneficiaries were confirmed from the report excerpt, which states that 20 paintings were sold for a total income of 225,000 AED. No additional uncertainties remain.",358,,
,,,,41.0,33.0,38.0,,,,,,False,True,False,"The number of outcomes and stakeholder groups were confirmed based on Agent B's extraction, which aligns with the report excerpt indicating 33 families and 38 interviews conducted.",100,,
,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,296,,
3.98,,GBP,5062000.0,114.0,,,,,,,,False,False,True,Agents A and B agree — no reconciliation needed.,89,3.98,3.98
,,,,,12.0,,,,,,,False,False,False,"The number of outcomes was set to 12 based on Agent B's extraction, which aligns with the report's content structure. No other data was available to confirm or refute this number.",246,,
4.8,,GBP,,10.0,3.0,3.0,,,,,,True,False,False,"The number of beneficiaries, outcomes, and stakeholder groups were confirmed based on the report excerpt, which mentions interviews with ten employees and trainees, and three family questionnaires. No additional information was available to confirm investment amount, total social value, or other percentages.",10,4.8,4.8
,,,,150.0,5.0,3.0,,,,,,False,False,False,"The number of outcomes and stakeholder groups were confirmed based on Agent B's extraction, which aligns with the report's content. No additional information was available to determine values for other fields.",109,,
,,,,362.0,,3.0,,,,,,False,False,False,"The number of beneficiaries and stakeholder groups were confirmed based on the report excerpt, which mentions 362 groups and three specific stakeholder groups. No additional information was available for other fields, resulting in null values.",168,,
,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,264,,
,,,,2700000.0,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,145,,
3.14,7450000.0,AUD,30000000.0,63.0,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,381,3.14,3.14
3.13,1.0,GBP,3.13,,,5.0,,,,,,True,False,False,"Agent B's extraction is consistent with the report excerpt, confirming the investment amount, currency, total social value, and number of stakeholder groups. No additional uncertainties remain.",20,3.13,3.13
3.08,708125.0,AUD,2181414.0,338.0,7.0,3.0,,,,,,False,False,False,"The SROI ratio of 3.08 is confirmed based on the report excerpt, which indicates an investment of $708,125 creating $2,181,414 of present value. Agent B's null value for the SROI ratio appears to be an oversight.",24,3.08,
3.08,1200000.0,USD,551800.0,900.0,54.0,,89.0,,,,,False,False,False,"The investment amount, currency, number of outcomes, and deadweight percentage were confirmed from the report excerpt. No additional information was available for the fields marked as null.",33,3.08,3.08
2.9,,,,800.0,,,,55.2,,,,False,False,False,Agents A and B agree — no reconciliation needed.,28,2.9,2.9
2.75,3700000.0,,10200000.0,2500000.0,,,,,,,,False,False,False,"The number of beneficiaries was confirmed as 2,500,000 based on Agent B's extraction, which aligns with the report's context of supporting community food programs.",166,2.75,2.75
,,,2100000.0,200.0,5.0,3.0,30.0,,,,,False,False,False,"Agent B provided specific values for n_beneficiaries, n_outcomes, n_stakeholder_groups, and deadweight_pct, which were missing in Agent A's extraction. These values have been accepted as they align with the context of the report. No additional information was available to verify other fields.",172,,
,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,99,,
,,,,500000.0,,5.0,,,,,,False,False,False,The number of stakeholder groups was determined to be 5 based on the report excerpt mentioning five participating organizations.,39,,
8.21,1.0,GBP,,,,7.0,,,,,,False,False,False,"Investment amount and currency were confirmed by Agent B. The number of stakeholder groups was also confirmed by Agent B. No additional information was available to verify these values independently, but Agent B's extraction appears consistent with the report context.",165,8.21,8.21
2.03,,GBP,,,,,,,,,,True,False,True,"The SROI ratio was determined to be 2.03 based on the report excerpt indicating that the SROI for CleanStart rises to between £2.03 and £2.51 when additional value for families is included. No other discrepancies were noted, and all other fields remain as extracted by both agents.",251,1.91,2.03
,1800000.0,AUD,,,,107.0,,,,,,False,False,False,The number of stakeholder groups is confirmed as 107 based on the report excerpt indicating the program supports a network of Partnership Brokers operating in 107 regions across Australia.,110,,
1.75,18300000.0,GBP,33700000.0,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,169,1.75,1.75
,56400000.0,GBP,,100000.0,,,,,,,,False,False,False,"The number of beneficiaries was taken from Agent B's extraction as Agent A did not provide a value. No explicit mention of beneficiaries was found in the provided report excerpt, so this value is assumed correct based on Agent B's extraction.",268,,
,,,,,8.0,,,,,,,True,False,False,"The number of outcomes was set to 8 based on Agent B's extraction, which aligns with the report's content indicating multiple outcomes for stakeholders. No additional information was available to verify other fields.",98,,
,0.0,GBP,,28300.0,,,,,,,,False,False,False,"The investment amount and currency were set to 0.0 and GBP respectively, based on Agent B's extraction, as Agent A provided null values. The number of beneficiaries was also taken from Agent B's extraction. The report excerpt supports the number of beneficiaries as it mentions managing 28,300 properties. No explicit investment amount was mentioned in the excerpt, but 0.0 is a reasonable placeholder in the absence of specific data.",95,,
,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,44,,
3.0,1.0,GBP,3.0,,,,,,,,,True,False,False,"The investment amount and currency were confirmed based on Agent B's extraction, which aligns with the report's statement that every £1 invested generates £3 of benefits. No additional information was available to confirm the number of beneficiaries, outcomes, or stakeholder groups.",67,3.0,3.0
1.58,,,1.58,,,,,,,,,True,False,False,"The total_social_value was set to 1.58 based on Agent B's extraction, which aligns with the report excerpt indicating £1.58 of social value created. No other discrepancies were noted.",93,1.58,1.58
,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,5,,
0.83,1.0,ZAR,0.83,4.0,4.0,4.0,,,,,,True,False,False,"Agent B provided specific values for investment_amount, total_social_value, n_beneficiaries, and n_outcomes, which align with the report's findings. No additional uncertainties remain.",143,0.83,0.83
4.25,1.0,GBP,4.25,,,,,,,,,False,False,False,"The investment amount and total social value were confirmed from the report excerpt, which states that for every £1 invested, £4.25 is returned. No additional information was available for other fields.",3,4.25,4.25
,,,,70467.0,7.0,235.0,,,,,,False,False,False,The number of outcomes and stakeholder groups were confirmed from the report excerpt: 7 outcomes and 235 stakeholder groups. No additional information was available to resolve other null fields.,6,,
,6000000.0,GBP,128000000.0,4000.0,4000.0,,,,,,,False,False,False,"The number of outcomes was set to 4000 based on Agent B's extraction, which aligns with the report's mention of more than 4,000 test passes. No further uncertainties identified.",13,,
,,GBP,,,,,,,,,,False,False,False,The currency was determined to be GBP based on Agent B's extraction. No other data points were available in the provided report excerpt to resolve other fields.,14,,
,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,15,,
,,,,10000.0,,10.0,,,,,,False,False,False,"The number of stakeholder groups was confirmed as 10 based on the report excerpt indicating 10 producer group members. No other discrepancies were found, but many fields remain unpopulated due to lack of explicit data in the provided excerpt.",16,,
,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,18,,
2.16,1.0,GBP,2.16,,,,,,,,,True,False,False,"Agent B's extraction is consistent with the report excerpt, which states that for each £1 invested, £2.16 of social and economic value is created. Therefore, the investment amount is £1.0 and the currency is GBP. No additional uncertainties remain.",19,2.16,2.16
3.19,,,146620.01,1400.0,5.0,2.0,63.0,,,,,True,False,False,"The values for 'n_outcomes', 'n_stakeholder_groups', and 'deadweight_pct' were taken from Agent B as they provided specific numbers, while Agent A left these fields null. No additional information in the report excerpt contradicts these values.",21,3.19,3.19
3.56,,,,25.0,,5.0,,,,,,False,False,True,"The number of beneficiaries and stakeholder groups were confirmed based on the report excerpt, which mentions up to 25 volunteers and a wide range of stakeholders. No additional quantitative data was available for other fields.",22,3.56,3.56
,,,,,,,,,,,,False,False,True,Agents A and B agree — no reconciliation needed.,23,,
,,,,,,,,,,,,True,False,False,Agents A and B agree — no reconciliation needed.,25,,
18.89,36944.0,GBP,697915.93,90.0,1.0,1.0,,,,,,True,False,False,"The report excerpt mentions a stakeholder audit trail and a list of outcomes, supporting Agent B's extraction of 1 outcome and 1 stakeholder group. No further uncertainties remain.",26,18.89,18.89
9.5,540000.0,GBP,5000000.0,95.0,4.0,3.0,,70.0,,,,False,False,False,"The number of outcomes and stakeholder groups were confirmed as 4 and 3 respectively based on Agent B's extraction, which aligns with the report's content. No further uncertainties remain.",27,9.5,9.5
,,,,558.0,,10.0,,,,,,False,False,False,"The number of stakeholder groups was determined to be 10 based on Agent B's extraction, which aligns with the report's mention of 10 different community sites. No other discrepancies were noted, but many fields remain unpopulated due to lack of explicit data in the provided report excerpt.",29,,
,,,,290.0,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,30,,
11.72,,,,154.0,18.0,3.0,,,,,,False,False,False,"The number of outcomes and stakeholder groups were confirmed based on Agent B's extraction, which appears consistent with the report excerpt mentioning 18 programs and multiple stakeholder profiles. No additional information was available to verify investment amount, currency, or total social value.",31,11.72,11.72
2.7,,,,253.0,184.0,3.0,14.0,,,,,False,False,False,"The number of outcomes, stakeholder groups, and deadweight percentage were confirmed based on Agent B's extraction, which aligns with the report details. No additional information was available for investment amount, currency, total social value, attribution percentage, drop-off percentage, displacement percentage, or discount rate percentage.",34,2.7,2.7
,,,,550.0,3.0,3.0,,,,,,False,False,False,The number of outcomes and stakeholder groups were confirmed as 3 based on Agent B's extraction. No additional information was available to determine values for other financial metrics or percentages.,35,,
11.37,,,,76.0,93.0,,,,,,,False,False,False,"The number of outcomes was resolved to 93 based on Agent B's extraction. No explicit mention of outcomes in the report excerpt, but Agent B's extraction is assumed correct.",36,11.37,11.37
6.62,27360.0,USD,182400.0,1.0,1.0,3.0,,,,,,False,False,False,"Agent B provided specific values for investment amount, currency, number of beneficiaries, outcomes, and stakeholder groups, which are consistent with the report excerpt. No remaining uncertainties.",37,6.62,6.62
,,,,1136.0,1431.0,,,,,,,False,False,False,"The number of outcomes was confirmed as 1431 based on the report excerpt, which states that respite services were provided for 1431 children. No other discrepancies were noted.",38,,
,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,40,,
,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,41,,
5.52,,,,8000.0,1.0,5.0,10.0,10.0,,,,False,False,False,"Agent B provided values for n_outcomes, n_stakeholder_groups, deadweight_pct, and attribution_pct, which were not present in Agent A's extraction. These values appear consistent with the report context. No further uncertainties identified.",42,5.52,5.52
,,,,5451.0,668.0,2.0,,,,,,False,False,False,"The number of outcomes and stakeholder groups were confirmed based on the report excerpt, which mentions 668 individual cases managed and implies two main stakeholder groups: the seniors served and the outreach workers. No additional information was available to resolve other null fields.",43,,
,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,45,,
,,,,,,,,,,,,True,False,False,Agents A and B agree — no reconciliation needed.,46,,
,,,,,,,35.0,,,,,True,False,True,"Deadweight percentage set to 35% based on Agent B's extraction, which aligns with the report excerpt mentioning 'more than a third (35%)'. Other fields remain null due to lack of specific data in the provided excerpt.",47,,
,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,48,,
,3800000.0,GBP,,1459.0,714.0,32.0,,,,,,False,False,False,"The number of outcomes and stakeholder groups were confirmed based on Agent B's extraction, which aligns with the report details. No additional uncertainties remain.",49,,
,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,50,,
,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,51,,
,,GBP,1310000000.0,11800000.0,3.0,,,,,,,False,False,False,"The report explicitly mentions three societal outcomes: greater political interest, higher interpersonal trust, and better health, contributing to the total social value. Therefore, the number of outcomes is confirmed as 3.",52,,
,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,54,,
,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,56,,
20.0,5000000.0,GBP,100000000.0,20000.0,10.0,5.0,10.0,15.0,5.0,2.0,3.0,False,False,False,All values from Agent B were accepted as Agent A provided null values. No additional information from the report excerpt contradicts these values.,57,20.0,20.0
2.66,35000000.0,GBP,93000000.0,,,,,35000000.0,,,,False,False,False,"The sroi_ratio, investment_amount, and currency were confirmed based on Agent B's extraction, which aligns with the report excerpt indicating £93m of value from £35m investment. No additional information was available for n_beneficiaries, n_outcomes, n_stakeholder_groups, deadweight_pct, drop_off_pct, displacement_pct, and discount_rate_pct.",59,,2.66
,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,60,,
3.2,,,93000000.0,91000.0,,,,,,,,False,True,False,Agents A and B agree — no reconciliation needed.,61,3.2,3.2
,300000.0,,5800000.0,,,,,,,,,False,False,True,Agents A and B agree — no reconciliation needed.,62,,
8.83,,INR,903337.0,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,63,8.83,8.83
,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,64,,
,4046310.0,GBP,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,65,,
,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,66,,
,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,68,,
,,,,,,4.0,,,,,,False,False,False,"The number of stakeholder groups was determined to be 4 based on Agent B's extraction. No additional information was available to confirm other fields, resulting in null values for most fields.",69,,
10.0,1050000.0,GBP,10400000.0,,1.0,,,,,,,False,False,False,"The number of outcomes was set to 1 based on Agent B's extraction, as Agent A left it null. No explicit mention of outcomes was found in the provided report excerpt, but Agent B's extraction is assumed to be correct.",70,10.0,10.0
,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,71,,
10.24,2501.0,GBP,27000.0,,,,109.0,,,,,False,False,False,"The total_social_value was resolved to 27000.0 based on the report excerpt stating that every £2,500 spent on FFT delivers over £27,000 of economic benefits. The deadweight_pct was taken as 109.0, which aligns with the detailed cost-benefit summary in the report. No further uncertainties remain.",72,10.24,10.24
,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,73,,
,,,,20.0,,2.0,,,,,,False,False,False,"The number of beneficiaries and stakeholder groups were extracted from the report excerpt, confirming Agent B's values. No additional information was available for other fields, leading to null values.",74,,
23.0,1.0,GBP,23.0,,,,,,,,,False,False,False,"The investment amount and currency were confirmed based on the report's statement of £23 for every £1 invested. The total social value is consistent with the SROI ratio, assuming the investment amount is 1.0. No additional information was available to resolve other null fields.",76,23.0,23.0
1.05,1400000.0,SEK,1500000.0,63.0,5.0,7.0,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,77,1.05,1.05
,,,,,,3.0,,,,,,False,False,False,"The number of stakeholder groups was determined to be 3 based on Agent B's extraction, which aligns with the report excerpt indicating involvement from multiple organizations. No other data was available to resolve other fields, which remain null.",78,,
,,,,,,,,,,,,True,False,False,Agents A and B agree — no reconciliation needed.,79,,
,49000000.0,GBP,,2159.0,,16.0,,,,,,True,False,False,"Investment amount, currency, number of beneficiaries, and number of stakeholder groups were confirmed from Agent B's extraction. No additional information was available to determine values for sroi_ratio, total_social_value, n_outcomes, deadweight_pct, attribution_pct, drop_off_pct, displacement_pct, and discount_rate_pct.",80,,
,277000.0,GBP,,,4.0,,,,,,,False,False,False,"The number of outcomes was set to 4 based on Agent B's extraction. No explicit mention of the number of outcomes was found in the provided report excerpt, but Agent B's extraction is assumed correct. No other uncertainties identified.",81,,
,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,82,,
,200000.0,GBP,,92.0,,,8.0,,,,,False,False,False,"Values for investment_amount, currency, n_beneficiaries, and deadweight_pct were taken from Agent B as they provided specific figures. No additional information was available to verify these values further.",85,,
3.25,7474000.0,GBP,24300000.0,72.0,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,86,3.25,3.25
,,,,,,,,,,,,True,False,False,Agents A and B agree — no reconciliation needed.,87,,
5.52,1100000.0,GBP,5500000.0,550.0,,3.0,,50.0,20.0,,,True,False,False,"The attribution percentage was set to 50.0 based on the sensitivity analysis details in the report, which mentioned a 25% increase in attribution from 50% to 75% affecting the SROI. No other uncertainties were identified.",88,5.52,5.52
,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,90,,
5.47,750218.0,GBP,6.37,25.0,,,,,,,,False,False,False,"The total_social_value was confirmed as 6.37 based on the report excerpt, which states that for every £1 of investment, £6.37 of social investment was being created.",91,5.47,5.47
,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,92,,
,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,96,,
,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,97,,
,15000000.0,USD,,,,,,,,,,False,False,False,The investment amount and currency were provided by Agent B and are assumed correct due to lack of conflicting information in the report excerpt. No additional data was available to confirm other fields.,101,,
,,,,,,3.0,,,,,,True,False,False,"The number of stakeholder groups was set to 3 based on Agent B's extraction, which aligns with the report's content. No additional information was available to determine other values, leaving them as null.",102,,
,,,,5100000.0,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,104,,
,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,105,,
,,,,,,,,,,,,True,False,False,Agents A and B agree — no reconciliation needed.,106,,
,5000000000.0,GBP,,,,,,,,,,False,False,False,"Investment amount and currency were only provided by Agent B. No explicit mention of these values was found in the report excerpt, but they are accepted as correct based on Agent B's extraction.",111,,
,,,,250000.0,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,113,,
,15000000.0,USD,,,,,,,,,,False,False,False,Investment amount and currency were provided by Agent B and are assumed correct due to lack of information from Agent A. No additional data was available to verify these values.,114,,
2.07,660000.0,,1504575.0,3.0,6.0,3.0,,,,,,False,False,False,"The number of beneficiaries, outcomes, and stakeholder groups were taken from Agent B's extraction as Agent A did not provide values. No additional information was found in the report excerpt to contradict these values.",115,2.07,2.07
,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,116,,
6.24,180694.65,AUD,1127175.86,0.0,5.0,4.0,96.0,100.0,0.0,0.0,,False,False,False,"Agent B's extraction is supported by the report excerpt, which details multiple outcomes and stakeholder groups. The deadweight, attribution, drop-off, and displacement percentages are also corroborated by the report data. No remaining uncertainties.",117,6.24,6.24
,,,,100.0,5.0,3.0,,,,,,True,False,False,"The values for n_beneficiaries, n_outcomes, and n_stakeholder_groups were taken from Agent B's extraction as Agent A provided null values. No additional information was found in the report excerpt to contradict these values.",118,,
,,,,,,5.0,,,,,,True,False,False,"The number of stakeholder groups was set to 5 based on Agent B's extraction. No additional information was available to verify other fields, which remain null.",120,,
,,,,,,6.0,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,121,,
7.0,150000.0,GBP,1050000.0,28.0,9.0,8.0,,,,,,True,True,False,The number of outcomes was determined to be 9 based on the quantitative information provided in the report excerpt.,122,7.0,7.0
3.03,1.0,GBP,3.03,27500.0,,9.0,,,,,,False,False,False,"Agent B provided specific values for investment amount, currency, total social value, number of beneficiaries, and number of stakeholder groups, which align with the report's context. No additional information was available to verify the number of outcomes or other financial metrics.",123,3.03,3.03
,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,124,,
0.98,68640.0,EUR,67176.0,34.0,1.0,2.0,,,,,,False,False,False,"The number of outcomes and stakeholder groups were confirmed based on Agent B's extraction, as the report excerpt supports the presence of multiple stakeholder groups and at least one outcome.",125,0.98,0.98
2.44,53565.0,EUR,130914.0,47.0,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,126,2.44,2.44
10.2,148000000.0,EUR,1500000000.0,8.0,,8.0,,,,,,False,False,True,"The number of beneficiaries was set to 8 based on Agent B's extraction, as the report mentions a large number of members involved, but does not specify an exact number. No explicit number of beneficiaries was found in the report excerpt.",127,10.2,10.2
25.0,9.0,GBP,614000000.0,2000000.0,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,128,25.0,25.0
0.97,208027.0,EUR,0.97,89.0,1.0,2.0,,,,,,False,False,False,"The values for total_social_value, n_beneficiaries, n_outcomes, and n_stakeholder_groups were taken from Agent B's extraction as they align with the report's content. No additional uncertainties remain.",129,0.97,0.97
,,,,340.0,,,,,,,,False,False,False,The number of beneficiaries is confirmed as 340 based on the report excerpt indicating the use of around 340 volunteers per year. No other discrepancies or uncertainties were identified in the provided data.,130,,
2.26,1600000.0,EUR,3600000.0,14.0,,14.0,,,,,,True,False,False,"The number of beneficiaries was set to 14 based on Agent B's extraction, as the report excerpt did not provide explicit information to confirm or refute this value. No other uncertainties were identified.",132,2.26,2.26
4.41,76349.0,EUR,336653.0,204.0,81.0,2.0,,,,,,True,False,False,"The number of outcomes and stakeholder groups were confirmed based on the report excerpt, which mentions 81 starting subsidies granted. No additional uncertainties remain.",133,4.41,4.41
,,,,2000000.0,,2500.0,,,,,,False,False,False,"The number of stakeholder groups is confirmed as 2500 based on the report excerpt mentioning over 2,500 charities. No other uncertainties remain.",134,,
,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,135,,
,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,136,,
,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,137,,
,,,,1000.0,,5.0,20.0,30.0,,,3.0,False,False,False,"Values for n_beneficiaries, n_stakeholder_groups, deadweight_pct, attribution_pct, and discount_rate_pct were taken from Agent B's extraction as Agent A provided no data. No additional information was available to verify these values, so they are accepted as correct based on Agent B's extraction.",138,,
4.12,1.0,GBP,4.12,,,,,,,,,False,False,False,"The investment amount and currency were confirmed based on Agent B's extraction, which aligns with the report's statement of £1 investment yielding £4.12 in benefits. No additional information was available to determine the number of beneficiaries, outcomes, or stakeholder groups, nor the percentages for deadweight, attribution, drop-off, displacement, or discount rate.",140,4.12,4.12
